英傑,出現数
柳生宗矩,99638
堀秀政,85934
長野業正,79622
大内義隆,78806
魔女ルシア,76497
細川藤孝(立役),65955
山中鹿之介,65525
納涼忍お綾,62197
島左近,57029
谷忠澄,43743
雑賀孫市(道化),38690
斎藤利三,33544
名古屋山三郎,32038
前田利家(兎忍),30862
村上義清,28323
山県昌景(泰然),25879
豊臣秀吉,24539
井伊直虎,24161
鍋島直茂,23802
北条氏照(剛柔),21512
武田晴信,20653
竹中半兵衛(知将),19903
北条氏邦,19841
真田幸村(水練),17990
島津義久,17442
直江兼続(王佐),17324
黒猫ノア,17193
真柄直隆,16528
北条氏康(獅子),16242
前田慶次(野望),15973
石川数正,15200
竹中半兵衛(右腕),15181
今川義元,13804
金森長近,13759
道場娘まり(和装),13044
香宗我部親泰,12927
林崎甚助,12838
蜂須賀正勝,12655
宇佐美定満,12294
豊臣秀次,11911
尼子経久,11886
出雲阿国(野望),11131
十河一存,11099
佐竹義重,11054
明智光秀(闇),10177
片倉景綱(右腕),10022
徳川家康(東軍),9922
陶晴賢,9885
柴田勝家(風雲),9480
宇喜多直家,9354
井伊直政(勇猛),8997
大野治長,8665
小松姫,8427
細川忠興(山紫),8179
毛利勝永,8157
鍋島直茂(人狼),8128
細川藤孝,8101
羽柴秀吉(納涼),8085
山県昌景,8078
高台院,8036
木下秀長,8029
大祝鶴,8004
吉川元春,7918
仙桃院,7424
宮本武蔵(涼),7364
太原雪斎,7002
伊達政宗(起源),6904
明石全登,6570
前田慶次,6221
出雲阿国(神将),6221
原田宗時,6221
北条綱成(籠城),6211
筒井順慶,6122
立花誾千代(猫又),6111
黒百合(納涼),5900
城大工かんな,5595
上泉信綱,5574
支倉常長,5483
長宗我部元親(納涼),5453
黒田官兵衛,5431
小松姫(水練),5412
立花誾千代,5412
小早川隆景(羽織),5382
出雲阿国(周年),5305
佐々木小次郎(涼),5281
鈴木重意,5201
後藤又兵衛,5092
朝倉義景,4983
雫の者,4921
稲葉一鉄,4905
長尾虎,4767
真田昌幸(吸血),4722
織田信忠,4676
ねね(納涼),4675
森長可,4627
浅井長政,4521
愛姫(起源),4503
甲斐姫,4490
井伊直政,4442
柴田勝家,4349
松永久秀,4341
朝倉景鏡,4341
果心居士,4341
足利義輝(野望),4339
渡辺守綱,4257
魔女娘まり,4209
風魔小太郎,4138
大久保忠世,4020
おまつ(奇譚),3955
斎藤道三(巳),3926
斎藤朝信,3844
北条氏政(獅子),3833
願証寺証恵,3823
板部岡江雪斎,3794
武田信玄(野望),3721
黒田長政,3695
もののふ小町,3605
丹羽長秀(風雲),3538
義姫,3508
海北綱親,3471
三好義賢,3439
伊達政宗(新星),3340
真田信幸,3319
北条氏政,3242
伊奈忠次,3116
安宅冬康,3064
島津豊久,3030
前田慶次(神将),2987
斎藤道三,2948
長尾景虎,2932
浅井長政(婚礼),2928
榊原康政,2928
新発田長敦,2928
佐々成政,2928
脇坂安治,2928
