result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
db79_101_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,三好長慶(生殺)|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,三好長慶(生殺)|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,12411,10234,62,0,112,1025,260,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||三好長慶(生殺)|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:世渡り上手の絆|3-4-5:謀略家|3-4-5:柔能制剛|5-6-1:野心家の絆|5-6-1:才気煥発,,step103_rules_dedup_rebuild,24104,24104,step164_verified_normal7
db79_100_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,島津義久|高台院|今川義元(周年)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),島津義久|高台院|今川義元(周年)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,12351,10246,78,0,112,995,261,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||島津義久|高台院|今川義元(周年)|武田晴信|徳川家康(東軍)|真田昌幸(吸血)||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:野心家の絆|3-4-5:才気煥発|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,24043,24043,step164_verified_normal7
db79_126_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|武田晴信|義姫|林崎甚助|島津義久|真田昌幸(吸血),豊臣秀吉|武田晴信|義姫|林崎甚助|島津義久|真田昌幸(吸血),野心家の絆|才気煥発|明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,野心家の絆|才気煥発|明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛,12810,9753,70,0,118,1026,253,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|武田晴信|義姫|林崎甚助|島津義久|真田昌幸(吸血)||1-2-3:野心家の絆|1-2-3:才気煥発|3-4-5:明敏の絆|3-4-5:老練闊達|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,24030,24030,step164_verified_normal7
db79_165_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,三好長慶(生殺)|林崎甚助|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,三好長慶(生殺)|林崎甚助|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,12506,9884,75,0,112,1010,260,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||三好長慶(生殺)|林崎甚助|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:世渡り上手の絆|3-4-5:謀略家|3-4-5:柔能制剛|5-6-1:野心家の絆|5-6-1:才気煥発,,step103_rules_dedup_rebuild,23847,23847,step164_verified_normal7
db79_163_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,島津義久|林崎甚助|今川義元(周年)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),島津義久|林崎甚助|今川義元(周年)|武田晴信|徳川家康(東軍)|真田昌幸(吸血),明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,明敏の絆|老練闊達|野心家の絆|才気煥発|世渡り上手の絆|謀略家|柔能制剛,12446,9896,92,0,112,981,261,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||島津義久|林崎甚助|今川義元(周年)|武田晴信|徳川家康(東軍)|真田昌幸(吸血)||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:野心家の絆|3-4-5:才気煥発|5-6-1:世渡り上手の絆|5-6-1:謀略家|5-6-1:柔能制剛,,step103_rules_dedup_rebuild,23788,23788,step164_verified_normal7
db79_148_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,豊臣秀吉|真田昌幸(吸血)|島津義久|林崎甚助|松永久秀(野望)|武田晴信,豊臣秀吉|真田昌幸(吸血)|島津義久|林崎甚助|松永久秀(野望)|武田晴信,世渡り上手の絆|謀略家|柔能制剛|明敏の絆|老練闊達|野心家の絆|才気煥発,世渡り上手の絆|謀略家|柔能制剛|明敏の絆|老練闊達|野心家の絆|才気煥発,12690,9554,83,0,118,1026,243,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||豊臣秀吉|真田昌幸(吸血)|島津義久|林崎甚助|松永久秀(野望)|武田晴信||1-2-3:世渡り上手の絆|1-2-3:謀略家|1-2-3:柔能制剛|3-4-5:明敏の絆|3-4-5:老練闊達|5-6-1:野心家の絆|5-6-1:才気煥発,,step103_rules_dedup_rebuild,23714,23714,step164_verified_normal7
db79_131_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,義姫|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,義姫|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,12244,9958,57,0,112,1025,260,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||義姫|高台院|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:世渡り上手の絆|3-4-5:謀略家|3-4-5:柔能制剛|5-6-1:野心家の絆|5-6-1:才気煥発,,step103_rules_dedup_rebuild,23656,23656,step164_verified_normal7
db79_2_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,林崎甚助|三好長慶(生殺)|明石全登|三条の方|鬼庭左月斎|真田信幸(航海),林崎甚助|三好長慶(生殺)|明石全登|三条の方|鬼庭左月斎|真田信幸(航海),明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,12145,10167,148,333,0,515,118,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||林崎甚助|三好長慶(生殺)|明石全登|三条の方|鬼庭左月斎|真田信幸(航海)||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:健康第一|3-4-5:衣鉢相伝|5-6-1:侍|5-6-1:長寿の絆,,step103_rules_dedup_rebuild,23426,23426,step164_verified_normal7
db79_197_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,義姫|林崎甚助|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,義姫|林崎甚助|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,明敏の絆|老練闊達|世渡り上手の絆|謀略家|柔能制剛|野心家の絆|才気煥発,12339,9608,70,0,112,1010,260,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||義姫|林崎甚助|島津義久|真田昌幸(吸血)|徳川家康(東軍)|武田晴信||1-2-3:明敏の絆|1-2-3:老練闊達|3-4-5:世渡り上手の絆|3-4-5:謀略家|3-4-5:柔能制剛|5-6-1:野心家の絆|5-6-1:才気煥発,,step103_rules_dedup_rebuild,23399,23399,step164_verified_normal7
db79_1_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,7,林崎甚助|今川義元(周年)|明石全登|三条の方|鬼庭左月斎|真田信幸(航海),林崎甚助|今川義元(周年)|明石全登|三条の方|鬼庭左月斎|真田信幸(航海),明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,明敏の絆|老練闊達|才気煥発|健康第一|衣鉢相伝|侍|長寿の絆,12101,10177,163,333,0,492,119,0,0,0,0,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||7||林崎甚助|今川義元(周年)|明石全登|三条の方|鬼庭左月斎|真田信幸(航海)||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:健康第一|3-4-5:衣鉢相伝|5-6-1:侍|5-6-1:長寿の絆,,step103_rules_dedup_rebuild,23385,23385,step164_verified_normal7
