source_id,formation,m1,m2,m3,m4,m5,m6,bond_count,bonds,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性
58245,,柳生宗矩,谷忠澄,魔女ルシア,出雲阿国(野望),大祝鶴,島左近,9,0|0|0|0|0|0,2970,604,61,353,488,671,513,525,504,552,
113356,,大内義隆,細川藤孝(立役),魔女ルシア,出雲阿国(野望),大祝鶴,北条氏邦,9,0|0|0|0|0|0,2114,272,61,410,504,699,810,848,782,821,
147336,,納涼忍お綾,堀秀政,柳生宗矩,宮本武蔵(涼),道場娘まり(和装),仙桃院,9,0|0|0|0|0|0,1597,734,246,660,242,700,373,418,378,457,
149944,,納涼忍お綾,堀秀政,柳生宗矩,宮本武蔵(涼),道場娘まり(和装),井伊直虎,9,0|0|0|0|0|0,1566,879,137,646,286,732,334,388,397,424,
151618,,柳生宗矩,谷忠澄,魔女ルシア,井伊直虎,道場娘まり(和装),宮本武蔵(涼),9,0|0|0|0|0|0,1549,985,131,447,405,717,184,215,208,234,
155820,,納涼忍お綾,堀秀政,柳生宗矩,宮本武蔵(涼),道場娘まり(和装),武田信玄(野望),9,0|0|0|0|0|0,1511,632,239,620,319,691,359,381,365,446,
206588,,納涼忍お綾,堀秀政,柳生宗矩,明智光秀(闇),井伊直虎,仙桃院,9,0|0|0|0|0|0,1001,731,222,622,360,878,392,462,461,415,
209509,,納涼忍お綾,堀秀政,柳生宗矩,上杉謙信(野望),井伊直虎,仙桃院,9,0|0|0|0|0|0,989,703,221,627,361,878,372,431,437,398,
236581,,納涼忍お綾,堀秀政,柳生宗矩,原虎胤,井伊直虎,仙桃院,9,0|0|0|0|0|0,913,637,196,565,320,786,337,400,401,363,
334086,,片倉景綱(右腕),竹中半兵衛(右腕),斎藤利三,山中鹿之介,山県昌景(泰然),武田晴信,9,0|0|0|0|0|0,2855,89,56,126,1372,410,475,493,522,470,
334868,,片倉景綱(右腕),竹中半兵衛(右腕),前田利家(兎忍),風魔小太郎,森長可,武田晴信,9,0|0|0|0|0|0,2640,88,103,120,1291,363,405,400,407,432,
335031,,片倉景綱(右腕),竹中半兵衛(右腕),納涼忍お綾,山中鹿之介,道場娘まり(和装),武田晴信,9,0|0|0|0|0|0,1135,175,55,260,1221,319,645,632,674,691,
335077,,片倉景綱(右腕),竹中半兵衛(右腕),納涼忍お綾,高台院,道場娘まり(和装),武田晴信,9,0|0|0|0|0|0,1170,163,53,239,1182,326,657,632,641,695,
347084,,竹中半兵衛(右腕),吉川元春,織田信忠,林崎甚助,納涼忍お綾,豊臣秀吉,9,0|0|0|0|0|0,1632,73,56,440,886,586,565,575,562,582,
348740,,竹中半兵衛(右腕),林崎甚助,高台院,名古屋山三郎,今川義元,北条氏康(獅子),9,0|0|0|0|0|0,1812,147,156,444,894,380,727,782,691,730,
348849,,竹中半兵衛(右腕),林崎甚助,高台院,お江,今川義元,北条氏康(獅子),9,0|0|0|0|0|0,1779,126,152,442,896,383,718,762,667,706,
