result_id,issue,formation,old_bond_count,actual_bond_count,old_bond_names,actual_bond_names,eiketsu_ids,eiketsu_names
db79_156384_uorin,no_nonduplicate_assignment,魚鱗,7,0,知勇兼備|侍|根性の絆|もののふ|泰然自若|謀略家|柔能制剛,,陶晴賢|鍋島直茂|山中鹿之介|長野業正|島左近|鍋島直茂,陶晴賢|鍋島直茂|山中鹿之介|長野業正|島左近|鍋島直茂
db79_160727_uorin,no_nonduplicate_assignment,魚鱗,7,0,謀略家|柔能制剛|侍|根性の絆|もののふ|泰然自若|知勇兼備,,陶晴賢|鍋島直茂|島左近|長野業正|山県昌景(泰然)|鍋島直茂,陶晴賢|鍋島直茂|島左近|長野業正|山県昌景(泰然)|鍋島直茂
step104_pair_方円_7_0052182,no_nonduplicate_assignment,方円,7,0,知勇兼備|侍|根性の絆|もののふ|泰然自若|謀略家|柔能制剛,,鍋島直茂|陶晴賢|鍋島直茂|山中鹿之介|長野業正|島左近,鍋島直茂|陶晴賢|鍋島直茂|山中鹿之介|長野業正|島左近
step104_pair_方円_7_0055447,no_nonduplicate_assignment,方円,7,0,謀略家|柔能制剛|侍|根性の絆|もののふ|泰然自若|知勇兼備,,鍋島直茂|陶晴賢|鍋島直茂|島左近|長野業正|山県昌景(泰然),鍋島直茂|陶晴賢|鍋島直茂|島左近|長野業正|山県昌景(泰然)
step172_7_方円_000129,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0099|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0066,明石全登|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|鍋島直茂(乱雲)
step172_7_方円_000134,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0066|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0002,鍋島直茂(乱雲)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|片倉景綱(右腕)
step172_7_方円_000149,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0099|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0002,明石全登|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|片倉景綱(右腕)
step172_7_方円_000163,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0031|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0066,黒百合(納涼)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|鍋島直茂(乱雲)
step172_7_方円_000184,actual_count_outside_7_9,方円,7,5,意気衝天|才腕の絆|柔能制剛|知勇兼備|立役者|老練闊達|質実剛健,意気衝天|質実剛健|柔能制剛|立役者|老練闊達,EIK_0006|EIK_0019|EIK_0388|EIK_0204|EIK_0066|EIK_0125,島津日新斎|伊達政宗(起源)|お市(八雷)|北条氏康(獅子)|鍋島直茂(乱雲)|竹中半兵衛
step172_7_方円_000202,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0031|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0002,黒百合(納涼)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|片倉景綱(右腕)
step172_7_方円_000211,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0099|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0003,明石全登|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|竹中半兵衛(右腕)
step172_7_方円_000216,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0003|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0002,竹中半兵衛(右腕)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|片倉景綱(右腕)
step172_7_方円_000222,actual_count_outside_7_9,方円,7,5,意気衝天|才腕の絆|柔能制剛|知勇兼備|立役者|老練闊達|質実剛健,意気衝天|質実剛健|柔能制剛|立役者|老練闊達,EIK_0006|EIK_0019|EIK_0388|EIK_0204|EIK_0002|EIK_0125,島津日新斎|伊達政宗(起源)|お市(八雷)|北条氏康(獅子)|片倉景綱(右腕)|竹中半兵衛
step172_7_方円_000224,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0099|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0033,明石全登|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|丹羽長秀(風雲)
step172_7_方円_000230,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0033|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0002,丹羽長秀(風雲)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|片倉景綱(右腕)
step172_7_方円_000237,actual_count_outside_7_9,方円,7,6,意気衝天|才腕の絆|柔能制剛|知勇兼備|立役者|老練闊達|質実剛健,意気衝天|質実剛健|柔能制剛|立役者|知勇兼備|老練闊達,EIK_0006|EIK_0019|EIK_0388|EIK_0204|EIK_0001|EIK_0125,島津日新斎|伊達政宗(起源)|お市(八雷)|北条氏康(獅子)|豊臣秀長|竹中半兵衛
step172_7_方円_000265,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0031|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0003,黒百合(納涼)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|竹中半兵衛(右腕)
step172_7_方円_000287,actual_count_outside_7_9,方円,7,6,意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|質実剛健|雄材大略,意気衝天|質実剛健|柔能制剛|立役者|摂理探究|雄材大略,EIK_0031|EIK_0015|EIK_0388|EIK_0204|EIK_0125|EIK_0033,黒百合(納涼)|武田晴信|お市(八雷)|北条氏康(獅子)|竹中半兵衛|丹羽長秀(風雲)
step172_7_方円_000298,actual_count_outside_7_9,方円,7,5,意気衝天|才腕の絆|柔能制剛|知勇兼備|立役者|老練闊達|質実剛健,意気衝天|質実剛健|柔能制剛|立役者|老練闊達,EIK_0006|EIK_0019|EIK_0388|EIK_0204|EIK_0003|EIK_0125,島津日新斎|伊達政宗(起源)|お市(八雷)|北条氏康(獅子)|竹中半兵衛(右腕)|竹中半兵衛
step172_7_方円_000300,actual_count_outside_7_9,方円,7,6,意気衝天|才腕の絆|技巧伝承|柔能制剛|知勇兼備|質実剛健|野心家の絆,意気衝天|質実剛健|柔能制剛|技巧伝承|知勇兼備|野心家の絆,EIK_0385|EIK_0019|EIK_0388|EIK_0204|EIK_0091|EIK_0081,尼子晴久|伊達政宗(起源)|お市(八雷)|北条氏康(獅子)|豊臣秀次|陶晴賢
step172_7_方円_000306,actual_count_outside_7_9,方円,7,5,意気衝天|才腕の絆|柔能制剛|知勇兼備|立役者|老練闊達|質実剛健,意気衝天|質実剛健|柔能制剛|立役者|老練闊達,EIK_0006|EIK_0019|EIK_0388|EIK_0204|EIK_0033|EIK_0125,島津日新斎|伊達政宗(起源)|お市(八雷)|北条氏康(獅子)|丹羽長秀(風雲)|竹中半兵衛
