番号,開運付与石,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風
1,付与石・巳,400,400,200,200,200,200,200,200,200,200,200
2,付与石・伍,350,350,150,150,150,150,150,150,150,150,150
3,付与石・四改,300,300,125,125,125,125,125,125,125,125,125
4,付与石・四,255,255,125,125,125,125,125,125,125,125,125
5,付与石・参,255,255,100,100,100,100,100,100,100,100,100
6,付与石・弐改,255,255,75,75,75,75,75,75,75,75,75
7,付与石・弐,0,0,75,75,75,75,75,75,75,75,75
8,付与石,0,0,50,50,50,50,50,50,50,50,50
9,神器石１,,,,,,,,,,,
10,神器石２,,,,,,,,,,,
11,天楼武器,,,,,,,,,,,
12,その他付与,,,,,,,,,,,
