番号,コスト,名前,育成技能1:(0凸),育成技能2:(0凸),育成技能3:(0凸),生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風,因子1(特化),因子2(2凸),因子3(LV20),因子4(文曲)
1,7,豊臣秀長,知力上昇Lv.5,生命力上昇Lv.3,知力修練志向Lv.1,34607,23177,2346,2015,2055,3006,2404,2552,2519,2642,2580,軍学,才腕,知将,名臣
2,7,片倉景綱(右腕),知力上昇Lv.5,知力修練志向Lv.3,生命上昇Lv.1,37178,20746,3219,2024,2247,2933,2472,2513,2360,2665,2448,殺陣,名臣,博識,知将
3,7,竹中半兵衛(右腕),知力上昇Lv.5,魅力上昇Lv.3,知力修練志向Lv.1,29750,25361,1621,1600,2136,3023,2821,2985,2976,2982,2976,陰陽道,名臣,知将,
4,7,酒井忠次(衣鉢),生命上昇Lv.5,生命上昇率向上Lv.3,魅力上昇Lv.1,41041,25610,2640,1545,1851,2693,2855,2249,2024,1908,2019,神通力,名臣,宿将,外交官
5,6,薄田兼相,耐久上昇Lv.1,生命上昇率向上Lv.1,,31697,15606,2210,1674,1610,1417,1348,1701,1548,1499,1567,武士道,剣豪,信義,
6,7,島津日新斎,知力上昇Lv.5,土属性上昇Lv.3,知力修練志向Lv.1,38518,23135,1900,2054,1877,2915,2718,2934,2366,2182,2121,仏門,才腕,長寿,
7,8,百地三太夫(野望),腕力上昇Lv.5,腕力修練志向Lv.3,腕力上昇率向上Lv.1,32480,18581,3470,1528,2441,2648,3007,2021,2073,2150,2166,暗殺術,忍び,世渡り上手,
8,7,風魔小太郎(野望),器用上昇Lv.5,腕力上昇Lv.3,器用修練志向Lv.1,32840,20182,3094,1590,2664,2599,2814,2176,2072,2269,2363,忍術,忍び,鬼,飛道具使い
9,8,毛利隆元,知力上昇Lv.5,魅力上昇Lv.3,知力修練志向Lv.1,36922,24671,1308,2140,2039,2930,3151,2745,2708,2686,2925,陰陽道,世渡り上手,才腕,信義
10,7,斎藤義龍(新春),腕力上昇Lv.5,生命上昇Lv.3,腕力上昇率向上Lv.1,41334,21515,2947,2285,2210,1514,2614,2652,2697,2633,2670,刀鍛冶,野心家,猛将,
11,7,斎藤義龍,土属性上昇率向上Lv.2,,,36129,14885,2261,2045,1395,1063,2297,2015,1295,1249,904,刀鍛冶,野心家,,猛将
