No,因縁名,因縁種類,因子1,因子2,因子3,効果サイズ,効果元表記,対象ステータス,係数カテゴリ,因縁係数,全体倍率,実効係数_因縁係数x2.24,因縁値式,陣形補正式,最終式
1,侍,職業因縁,武士道,武芸,軍学,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
1,侍,職業因縁,武士道,武芸,軍学,中,腕力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
1,侍,職業因縁,武士道,武芸,軍学,小,気合・耐久力・魅力,気合,気合,0.003,2.24,0.00672,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
1,侍,職業因縁,武士道,武芸,軍学,小,気合・耐久力・魅力,耐久力,ステータス,0.0022,2.24,0.004928,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
1,侍,職業因縁,武士道,武芸,軍学,小,気合・耐久力・魅力,魅力,ステータス,0.0022,2.24,0.004928,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
2,僧,職業因縁,僧兵,仏門,密教,特大,生命力,生命,生命,0.0077,2.24,0.017248,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
2,僧,職業因縁,僧兵,仏門,密教,中,魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
2,僧,職業因縁,僧兵,仏門,密教,小,腕力・器用さ・知力,腕力,ステータス,0.0022,2.24,0.004928,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
2,僧,職業因縁,僧兵,仏門,密教,小,腕力・器用さ・知力,器用さ,ステータス,0.0022,2.24,0.004928,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
2,僧,職業因縁,僧兵,仏門,密教,小,腕力・器用さ・知力,知力,ステータス,0.0022,2.24,0.004928,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
