コスト,名前,職業,因子1,因子2,因子3,因子4,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,育成技能１,育成技能２,育成技能３,追加・更新,技能,詳細
7,母里太兵衛,僧,僧兵,猛将,宿将,信義,37685,22121,3514,2316,2111,2620,2741,2311,2387,2469,2198,腕力上昇Lv.5,耐久力上昇Lv.3,腕力修練志向Lv.1,2026/5/20,酒豪の快進撃,敵単体に強力な五連撃と火属性術攻撃を行う。自身の属性付与数に応じて威力上昇。味方全体の気合を回復し、攻撃力と物理・術耐性を上げる。
7,豊臣秀長,侍,軍学,才腕,知将,名臣,34607,23177,2346,2015,2055,3006,2404,2552,2519,2642,2580,知力上昇Lv.5,生命力上昇Lv.3,知力修練志向Lv.1,2026/5/13,天下の支柱,敵全体に火属性攻撃を行う。敵が武装解除状態なら威力上昇。敵全体の付与を1つ消し、術耐性を低下させる。力溜めを1回蓄積し、2回蓄積すると追加行動を行う。
7,片倉景綱(右腕),傾奇者,殺陣,名臣,博識,知将,37178,20746,3219,2024,2247,2933,2472,2513,2360,2665,2448,知力上昇Lv.5,知力修練志向Lv.3,生命上昇Lv.1,2026/4/22,舞い昇る双龍,最高知力の味方の力を借り敵全体に火属性術攻撃。地勢・四象の効果を受けない状態を付与し、確率で沈黙状態にする。味方の攻撃術の効果・知力・魅力・場の四象を上昇。
7,竹中半兵衛(右腕),陰陽師,陰陽道,名臣,知将,,29750,25361,1621,1600,2136,3023,2821,2985,2976,2982,2976,知力上昇Lv.5,魅力上昇Lv.3,知力修練志向Lv.1,2026/4/22,百錬の妙計,敵単体と敵全体に自身の最高属性の攻撃術を放ち、敵全体に術耐性低下状態を付与。自身の最高属性の四象を上昇。力溜めを1回蓄積し、3回蓄積すると追加行動を行う。
7,酒井忠次(通),通,神通力,名臣,宿将,外交官,41041,25610,2640,1545,1851,2693,2855,2249,2024,1908,2019,生命上昇Lv.5,生命上昇率向上Lv.3,魅力上昇Lv.1,2026/04/08,三河武士の策,味方単体に連続行動不能耐性と一部の結界を無視する状態を付与する。味方全体の生命力を回復して継続回復状態にし、物理・術耐性を上げ、標的固定状態を解除する。
6,薄田兼相,侍,武士道,剣豪,信義,,31697,15606,2210,1674,1610,1417,1348,1701,1548,1499,1567,耐久上昇Lv.1,生命上昇率向上Lv.1,,2026/04/08,兼相流柔術,敵全体の注意を引きつけ、物理耐性を下げる。また自身に物理・術被害軽減の結界を張る。
7,島津日新斎,僧,仏門,才腕,長寿,,38518,23135,1900,2054,1877,2915,2718,2934,2366,2182,2121,知力上昇Lv.5,土属性上昇Lv.3,知力修練志向Lv.1,2026/04/08,仏心地獄,敵単体に一部の結界を無視する土属性術攻撃を行い、付与無効状態にする。自身の最大生命力に応じて威力増。敵を倒すと「仏心地獄」を再発動させる。
8,百地三太夫(野望),忍者,暗殺術,忍び,世渡り上手,,32480,18581,3470,1528,2441,2648,3007,2021,2073,2150,2166,腕力上昇Lv.5,腕力修練志向Lv.3,腕力上昇率向上Lv.1,2026/3/25,漆黒韋駄天,敵単体に近接攻撃を行い、初回術量を特大減少、味方全体の敵の守備系統を無効化し、攻撃力上昇と物理攻撃の威力増加状態を付与、生命力50%以下の敵に追加ダメージ。
7,風魔小太郎(野望),忍者,忍術,忍び,鬼,飛道具使い,32840,20182,3094,1590,2664,2599,2814,2176,2072,2269,2363,器用上昇Lv.5,腕力上昇Lv.3,器用修練志向Lv.1,2026/3/25,風触逢魔,敵全体に間接物理攻撃を行い、攻撃力・物理耐性・与ダメージを低下させる。自身の器用さを上昇させる。
8,毛利隆元,陰陽師,陰陽道,世渡り上手,才腕,信義,36922,24671,1308,2140,2039,2930,3151,2745,2708,2686,2925,知力上昇Lv.5,魅力上昇Lv.3,知力修練志向Lv.1,2026/3/18,三子教訓の仁,自身の最高属性と同属性の追加ダメージ効果を味方二体に付与、対象の生命力の最大値を上げ、知力を上昇させる。力溜めを1回蓄積し、2回蓄積すると追加行動を行う。
