因縁種類,因縁名,因子1,因子2,因子3,因縁効果,,,
,,,,,特大,大,中,小
職業因縁,侍,武士道,武芸,軍学,生命力,,腕力,気合・耐久力・魅力
職業因縁,僧,僧兵,仏門,密教,生命力,,魅力,腕力・器用さ・知力
職業因縁,神主・巫女,神道,古神道,雅楽,生命力,,気合,腕力・器用さ・知力
職業因縁,陰陽師,陰陽道,仙道,召喚術,生命力,,知力,気合・耐久力・四象
職業因縁,忍者,忍法,暗殺術,忍術,生命力,,器用,腕力・知力・四象
職業因縁,鍛冶屋,刀鍛冶,鎧鍛冶,鉄砲鍛冶,生命力,,耐久力,腕力・器用さ・魅力
職業因縁,薬師,医学,神通力,修験道,生命力,,魅力,気合・知力・四象
職業因縁,傾奇者,四象,地勢,殺陣,生命力,,四象,腕力・耐久力・知力
特化因縁,武士道の絆,武士道,武士道,武士道,生命力,,気合・耐久力・魅力,
特化因縁,武芸の絆,武芸,武芸,武芸,生命力,,腕力・耐久力・器用さ,
特化因縁,軍学の絆,軍学,軍学,軍学,生命力,,耐久力・知力・魅力,
特化因縁,僧兵の絆,僧兵,僧兵,僧兵,生命力,,腕力・耐久力・知力,
特化因縁,仏門の絆,仏門,仏門,仏門,生命力,,気合・知力・魅力,
特化因縁,密教の絆,密教,密教,密教,生命力,,知力・魅力・四象,
特化因縁,神道の絆,神道,神道,神道,生命力,,腕力・器用さ・知力,
特化因縁,古神道の絆,古神道,古神道,古神道,生命力,,気合・知力・四象,
特化因縁,雅楽の絆,雅楽,雅楽,雅楽,生命力,,知力・魅力・四象,
特化因縁,陰陽道の絆,陰陽道,陰陽道,陰陽道,生命力,,知力・魅力・四象,
特化因縁,仙道の絆,仙道,仙道,仙道,生命力,,気合・知力・魅力,
特化因縁,召喚術の絆,召喚術,召喚術,召喚術,生命力,,耐久力・知力・四象,
特化因縁,忍法の絆,忍法,忍法,忍法,生命力,,腕力・器用さ・魅力,
特化因縁,暗殺術の絆,暗殺術,暗殺術,暗殺術,生命力,,腕力・器用さ・魅力,
特化因縁,忍術の絆,忍術,忍術,忍術,生命力,,器用さ・知力・四象,
特化因縁,刀鍛冶の絆,刀鍛冶,刀鍛冶,刀鍛冶,生命力,,腕力・耐久力・魅力,
特化因縁,鎧鍛冶の絆,鎧鍛冶,鎧鍛冶,鎧鍛冶,生命力,,耐久力・魅力・四象,
特化因縁,鉄砲鍛冶の絆,鉄砲鍛冶,鉄砲鍛冶,鉄砲鍛冶,生命力,,腕力・耐久力・器用さ,
特化因縁,医学の絆,医学,医学,医学,生命力,,気合・知力・魅力,
特化因縁,神通力の絆,神通力,神通力,神通力,生命力,,知力・魅力・四象,
特化因縁,修験道の絆,修験道,修験道,修験道,生命力,,気合・知力・魅力,
特化因縁,四象の絆,四象,四象,四象,生命力,,腕力・知力・四象,
特化因縁,地勢の絆,地勢,地勢,地勢,生命力,,,気合・耐久力・器用さ・知力・魅力・四象
特化因縁,殺陣の絆,殺陣,殺陣,殺陣,生命力,,腕力・器用さ・知力,
固有因縁,知将の絆,知将,知将,知将,生命力,知力・四象,,
固有因縁,忍びの絆,忍び,忍び,忍び,生命力,腕力・器用さ,,
固有因縁,剣豪の絆,剣豪,剣豪,剣豪,生命力,腕力・器用さ,,
固有因縁,名臣の絆,名臣,名臣,名臣,生命力,知力・魅力,,
固有因縁,野心家の絆,野心家,野心家,野心家,生命力,気合・知力,,
固有因縁,勇将の絆,勇将,勇将,勇将,生命力,腕力・耐久,,
固有因縁,女傑の絆,女傑,女傑,女傑,生命力,腕力・魅力,,
固有因縁,内助の功の絆,内助の功,内助の功,内助の功,生命力,知力・魅力,,
固有因縁,長寿の絆,長寿,長寿,長寿,生命力,気合・耐久,,
固有因縁,文化人の絆,文化人,文化人,文化人,生命力,器用さ・四象,,
固有因縁,猛将の絆,猛将,猛将,猛将,生命力,気合・腕力,,
固有因縁,外交官の絆,外交官,外交官,外交官,生命力,器用さ・魅力,,
固有因縁,洒落者の絆,洒落者,洒落者,洒落者,生命力,魅力・四象,,
固有因縁,鬼の絆,鬼,鬼,鬼,生命力,腕力・耐久,,
固有因縁,神仏の徒の絆,神仏の徒,神仏の徒,神仏の徒,生命力,知力・魅力,,
固有因縁,世渡り上手の絆,世渡り上手,世渡り上手,世渡り上手,生命力,気合・魅力,,
固有因縁,飛道具使いの絆,飛道具使い,飛道具使い,飛道具使い,生命力,腕力・器用さ,,
固有因縁,明敏の絆,明敏,明敏,明敏,生命力,気合・知力,,
固有因縁,宿将の絆,宿将,宿将,宿将,生命力,腕力・魅力,,
固有因縁,根性の絆,根性,根性,根性,生命力,耐久・四象,,
固有因縁,才腕の絆,才腕,才腕,才腕,生命力,器用さ・四象,,
特殊因縁,もののふ,勇将,猛将,鬼,生命力,腕力,,耐久力・器用さ
