result_id,陣形,bond_count,配置1,配置2,配置3,配置4,配置5,配置6,配置ID1,配置ID2,配置ID3,配置ID4,配置ID5,配置ID6,発動因縁,有効ライン1,有効ライン1因縁,有効ライン2,有効ライン2因縁,有効ライン3,有効ライン3因縁,重複除外キー,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,総合値,total_score,stat_status,calc_source
G3_REBUILD56_DEDUP_6_0002426,魚鱗,6,十河一存,山県昌景,長野業正,上杉憲政,小松姫,伊達成実,EIK_0039,EIK_0291,EIK_0103,EIK_0014,EIK_0297,EIK_0268,侍|武芸の絆|もののふ|豪傑|老練闊達|勇猛果敢,1-2-3,侍|もののふ,3-4-5,老練闊達|勇猛果敢,5-6-1,武芸の絆|豪傑,魚鱗||等級3以下ON||6||EIK_0014|EIK_0039|EIK_0103|EIK_0268|EIK_0291|EIK_0297,6868,2217,612,145,213,39,33,0,0,0,0,10127,10127,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002427,魚鱗,6,十河一存,小雀,山県昌景,薄田兼相,柴田勝家,森田浄曇,EIK_0039,EIK_0365,EIK_0291,EIK_0005,EIK_0294,EIK_0179,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,侍|豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0179|EIK_0291|EIK_0294|EIK_0365,6798,2302,578,36,247,42,122,0,0,0,0,10125,10125,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002428,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,北条氏邦,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0040,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0040|EIK_0291|EIK_0294,6763,2348,566,77,246,40,80,0,0,0,0,10120,10120,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002429,魚鱗,6,十河一存,小松姫,山県昌景,薄田兼相,柴田勝家,甲山太郎次郎,EIK_0039,EIK_0297,EIK_0291,EIK_0005,EIK_0294,EIK_0336,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0291|EIK_0294|EIK_0297|EIK_0336,6710,2289,673,34,247,39,126,0,0,0,0,10118,10118,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002430,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,三好義賢,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0289,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0289|EIK_0291|EIK_0294,6763,2348,561,78,246,40,80,0,0,0,0,10116,10116,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002431,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,伴長信,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0316,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0291|EIK_0294|EIK_0316,6723,2292,635,34,266,41,125,0,0,0,0,10116,10116,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002432,魚鱗,6,真柄直隆,薄田兼相,山県昌景,十河一存,小松姫,色部勝長,EIK_0132,EIK_0005,EIK_0291,EIK_0039,EIK_0297,EIK_0298,侍|武芸の絆|剣豪の絆|戦場の華|豪傑|意気衝天,1-2-3,侍|剣豪の絆,3-4-5,豪傑|意気衝天,5-6-1,武芸の絆|戦場の華,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0132|EIK_0291|EIK_0297|EIK_0298,6769,2347,519,80,211,70,120,0,0,0,0,10116,10116,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002433,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,色部勝長,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0298,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0291|EIK_0294|EIK_0298,6763,2348,568,78,237,40,80,0,0,0,0,10114,10114,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002434,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,山中俊房,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0292,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0291|EIK_0292|EIK_0294,6666,2328,656,34,265,40,123,0,0,0,0,10112,10112,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002435,魚鱗,6,真柄直隆,薄田兼相,山県昌景,十河一存,小松姫,井伊直政,EIK_0132,EIK_0005,EIK_0291,EIK_0039,EIK_0297,EIK_0041,侍|武芸の絆|剣豪の絆|戦場の華|豪傑|意気衝天,1-2-3,侍|剣豪の絆,3-4-5,豪傑|意気衝天,5-6-1,武芸の絆|戦場の華,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0041|EIK_0132|EIK_0291|EIK_0297,6769,2347,511,80,214,70,120,0,0,0,0,10111,10111,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002436,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,斎藤朝信,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0037,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0037|EIK_0039|EIK_0291|EIK_0294,6763,2348,551,78,250,40,80,0,0,0,0,10110,10110,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002437,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,井伊直政,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0041,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0041|EIK_0291|EIK_0294,6763,2348,559,78,242,40,80,0,0,0,0,10110,10110,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002438,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,本多忠勝,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0181,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0181|EIK_0291|EIK_0294,6763,2348,551,75,246,40,80,0,0,0,0,10103,10103,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002439,魚鱗,6,真柄直隆,薄田兼相,山県昌景,十河一存,小松姫,本多忠勝,EIK_0132,EIK_0005,EIK_0291,EIK_0039,EIK_0297,EIK_0181,侍|武芸の絆|剣豪の絆|戦場の華|豪傑|意気衝天,1-2-3,侍|剣豪の絆,3-4-5,豪傑|意気衝天,5-6-1,武芸の絆|戦場の華,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0132|EIK_0181|EIK_0291|EIK_0297,6769,2347,503,77,217,70,120,0,0,0,0,10103,10103,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002440,魚鱗,6,伊賀崎道順,本願寺実悟,甲斐姫,十河一存,山県昌景,来福寺左京,EIK_0076,EIK_0355,EIK_0112,EIK_0039,EIK_0291,EIK_0356,侍|豪傑|奇襲|籠城名手|能鷹隠爪|意気衝天,1-2-3,籠城名手|能鷹隠爪,3-4-5,侍|豪傑|意気衝天,5-6-1,奇襲,魚鱗||等級3以下ON||6||EIK_0039|EIK_0076|EIK_0112|EIK_0291|EIK_0355|EIK_0356,6788,2358,191,179,229,127,119,27,26,28,27,10099,10099,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002441,魚鱗,6,薄田兼相,山県昌景,柴田勝家,妙玖,池田勝正,支倉常長,EIK_0005,EIK_0291,EIK_0294,EIK_0097,EIK_0306,EIK_0038,侍|武士道の絆|剣豪の絆|王佐之才|衣鉢相伝|意気軒昂,1-2-3,侍|剣豪の絆|意気軒昂,3-4-5,王佐之才|衣鉢相伝,5-6-1,武士道の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0038|EIK_0097|EIK_0291|EIK_0294|EIK_0306,6845,2156,361,216,123,0,261,34,33,33,34,10096,10096,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002442,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,伊達成実,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0268,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0268|EIK_0291|EIK_0294,6763,2311,568,78,250,40,80,0,0,0,0,10090,10090,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002443,魚鱗,6,十河一存,蛍,山県昌景,薄田兼相,柴田勝家,伊賀崎道順,EIK_0039,EIK_0333,EIK_0291,EIK_0005,EIK_0294,EIK_0076,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0076|EIK_0291|EIK_0294|EIK_0333,6731,2270,613,34,258,47,128,0,0,0,0,10081,10081,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002444,魚鱗,6,十河一存,蛍,山県昌景,薄田兼相,柴田勝家,真柄直隆,EIK_0039,EIK_0333,EIK_0291,EIK_0005,EIK_0294,EIK_0132,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0132|EIK_0291|EIK_0294|EIK_0333,6834,2234,566,78,253,36,78,0,0,0,0,10079,10079,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002445,魚鱗,6,十河一存,小雀,山県昌景,御子神典膳,柴田勝家,遠藤直経,EIK_0039,EIK_0365,EIK_0291,EIK_0045,EIK_0294,EIK_0271,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,侍|豪傑|意気衝天,3-4-5,剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0039|EIK_0045|EIK_0271|EIK_0291|EIK_0294|EIK_0365,6701,2271,632,30,267,37,136,0,0,0,0,10074,10074,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002446,魚鱗,6,十河一存,小雀,山県昌景,薄田兼相,柴田勝家,遠藤直経,EIK_0039,EIK_0365,EIK_0291,EIK_0005,EIK_0294,EIK_0271,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,侍|豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0271|EIK_0291|EIK_0294|EIK_0365,6737,2262,620,34,257,37,120,0,0,0,0,10067,10067,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002447,魚鱗,6,長野業正,北条氏照,本庄繁長,柴田勝家,小松姫,上杉憲政,EIK_0103,EIK_0321,EIK_0153,EIK_0294,EIK_0297,EIK_0014,侍|武芸の絆|もののふ|豪傑|老練闊達|勇猛果敢,1-2-3,侍|もののふ,3-4-5,武芸の絆|豪傑,5-6-1,老練闊達|勇猛果敢,魚鱗||等級3以下ON||6||EIK_0014|EIK_0103|EIK_0153|EIK_0294|EIK_0297|EIK_0321,6660,2410,566,149,206,41,33,0,0,0,0,10065,10065,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002448,魚鱗,6,十河一存,黒百合,山県昌景,薄田兼相,柴田勝家,甲山太郎次郎,EIK_0039,EIK_0032,EIK_0291,EIK_0005,EIK_0294,EIK_0336,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0005|EIK_0032|EIK_0039|EIK_0291|EIK_0294|EIK_0336,6706,2283,634,33,243,39,121,0,0,0,0,10059,10059,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002449,魚鱗,6,十河一存,甲斐姫,山県昌景,塩屋秋貞,北条氏照,岡部元信,EIK_0039,EIK_0112,EIK_0291,EIK_0359,EIK_0321,EIK_0272,侍|軍学の絆|勇将の絆|もののふ|豪傑|意気衝天,1-2-3,侍|豪傑|意気衝天,3-4-5,軍学の絆|勇将の絆,5-6-1,侍|もののふ,魚鱗||等級3以下ON||6||EIK_0039|EIK_0112|EIK_0272|EIK_0291|EIK_0321|EIK_0359,6875,2314,317,228,127,102,88,0,0,0,0,10051,10051,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002450,魚鱗,6,長野業正,北条氏照,本庄繁長,伊達成実,小松姫,上杉憲政,EIK_0103,EIK_0321,EIK_0153,EIK_0268,EIK_0297,EIK_0014,侍|武芸の絆|もののふ|豪傑|老練闊達|勇猛果敢,1-2-3,侍|もののふ,3-4-5,武芸の絆|豪傑,5-6-1,老練闊達|勇猛果敢,魚鱗||等級3以下ON||6||EIK_0014|EIK_0103|EIK_0153|EIK_0268|EIK_0297|EIK_0321,6660,2377,570,149,214,41,33,0,0,0,0,10044,10044,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002451,魚鱗,6,十河一存,小雀,山県昌景,薄田兼相,柴田勝家,本庄繁長,EIK_0039,EIK_0365,EIK_0291,EIK_0005,EIK_0294,EIK_0153,侍|武芸の絆|剣豪の絆|豪傑|意気衝天|意気軒昂,1-2-3,侍|豪傑|意気衝天,3-4-5,侍|剣豪の絆|意気軒昂,5-6-1,武芸の絆,魚鱗||等級3以下ON||6||EIK_0005|EIK_0039|EIK_0153|EIK_0291|EIK_0294|EIK_0365,6620,2459,522,80,242,39,79,0,0,0,0,10041,10041,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
G3_REBUILD56_DEDUP_6_0002452,魚鱗,6,十河一存,小雀,山県昌景,御子神典膳,柴田勝家,出浦盛清,EIK_0039,EIK_0365,EIK_0291,EIK_0045,EIK_0294,EIK_0296,侍|剣豪の絆|豪傑|一気呵成|意気衝天|意気軒昂,1-2-3,侍|豪傑|意気衝天,3-4-5,剣豪の絆|意気軒昂,5-6-1,一気呵成,魚鱗||等級3以下ON||6||EIK_0039|EIK_0045|EIK_0291|EIK_0294|EIK_0296|EIK_0365,6631,2271,666,30,271,36,136,0,0,0,0,10041,10041,ステータス計算済み,GRADE3_5_6_REBUILD_LINE3_RULE_SAME6_DEDUP_20260628
