因縁名,発動因子,対象ステータス,倍率%
侍の絆,武士道|武芸|軍楽,生命,0.7
侍の絆,武士道|武芸|軍楽,気合,0.45
侍の絆,武士道|武芸|軍楽,腕力,0.55
侍の絆,武士道|武芸|軍楽,耐久力,0.44
侍の絆,武士道|武芸|軍楽,魅力,0.33
僧の絆,僧兵|仏門|密教,生命,0.7
僧の絆,僧兵|仏門|密教,腕力,0.33
僧の絆,僧兵|仏門|密教,器用さ,0.33
僧の絆,僧兵|仏門|密教,知力,0.44
僧の絆,僧兵|仏門|密教,魅力,0.55
陰陽師の絆,陰陽道|仙道|召喚術,生命,0.7
陰陽師の絆,陰陽道|仙道|召喚術,気合,0.45
陰陽師の絆,陰陽道|仙道|召喚術,耐久力,0.33
陰陽師の絆,陰陽道|仙道|召喚術,知力,0.55
陰陽師の絆,陰陽道|仙道|召喚術,土属性,0.44
陰陽師の絆,陰陽道|仙道|召喚術,水属性,0.44
陰陽師の絆,陰陽道|仙道|召喚術,火属性,0.44
陰陽師の絆,陰陽道|仙道|召喚術,風属性,0.44
鍛冶屋の絆,刀鍛冶|鎧鍛冶|鉄砲鍛冶,生命,0.7
鍛冶屋の絆,刀鍛冶|鎧鍛冶|鉄砲鍛冶,腕力,0.33
鍛冶屋の絆,刀鍛冶|鎧鍛冶|鉄砲鍛冶,耐久力,0.55
鍛冶屋の絆,刀鍛冶|鎧鍛冶|鉄砲鍛冶,器用さ,0.33
鍛冶屋の絆,刀鍛冶|鎧鍛冶|鉄砲鍛冶,魅力,0.44
武芸の絆,武芸|武芸|武芸,生命,0.7
武芸の絆,武芸|武芸|武芸,腕力,0.55
武芸の絆,武芸|武芸|武芸,耐久力,0.55
武芸の絆,武芸|武芸|武芸,器用さ,0.55
陰陽道の絆,陰陽道|陰陽道|陰陽道,生命,0.7
陰陽道の絆,陰陽道|陰陽道|陰陽道,知力,0.55
陰陽道の絆,陰陽道|陰陽道|陰陽道,魅力,0.55
陰陽道の絆,陰陽道|陰陽道|陰陽道,土属性,0.55
陰陽道の絆,陰陽道|陰陽道|陰陽道,水属性,0.55
陰陽道の絆,陰陽道|陰陽道|陰陽道,火属性,0.55
陰陽道の絆,陰陽道|陰陽道|陰陽道,風属性,0.55
刀鍛冶の絆,刀鍛冶|刀鍛冶|刀鍛冶,生命,0.7
刀鍛冶の絆,刀鍛冶|刀鍛冶|刀鍛冶,腕力,0.55
刀鍛冶の絆,刀鍛冶|刀鍛冶|刀鍛冶,耐久力,0.55
刀鍛冶の絆,刀鍛冶|刀鍛冶|刀鍛冶,魅力,0.55
剣豪の絆,剣豪|剣豪|剣豪,生命,0.7
剣豪の絆,剣豪|剣豪|剣豪,腕力,0.98
剣豪の絆,剣豪|剣豪|剣豪,器用さ,0.98
女傑の絆,女傑|女傑|女傑,生命,0.7
女傑の絆,女傑|女傑|女傑,腕力,0.98
女傑の絆,女傑|女傑|女傑,魅力,0.98
長寿の絆,長寿|長寿|長寿,生命,0.7
長寿の絆,長寿|長寿|長寿,気合,1.35
長寿の絆,長寿|長寿|長寿,耐久力,0.98
鬼の絆,鬼|鬼|鬼,生命,0.7
鬼の絆,鬼|鬼|鬼,腕力,0.98
