result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
step104_pair_方円_5_0002300,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,愛姫(起源)|武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役),愛姫(起源)|武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役),意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8120,6416,69,200,68,478,96,182,176,173,167,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||愛姫(起源)|武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)||2-3-4:意気衝天|2-3-4:雄材大略|6-1-2:健康第一|6-1-2:老練闊達|6-1-2:質実剛健,,step171_new_formula_rebuild,16145,16145,jinpo_result_db_5.csv
step104_pair_方円_5_0002303,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,愛姫(起源)|武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役),愛姫(起源)|武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役),意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8125,6375,63,198,66,504,96,195,169,160,180,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||愛姫(起源)|武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)||2-3-4:意気衝天|2-3-4:雄材大略|6-1-2:健康第一|6-1-2:老練闊達|6-1-2:質実剛健,,step171_new_formula_rebuild,16131,16131,jinpo_result_db_5.csv
step104_pair_方円_5_0002305,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,高台院|武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役),高台院|武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役),意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8120,6387,63,197,64,488,96,180,173,167,162,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||高台院|武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)||2-3-4:意気衝天|2-3-4:雄材大略|6-1-2:健康第一|6-1-2:老練闊達|6-1-2:質実剛健,,step171_new_formula_rebuild,16097,16097,jinpo_result_db_5.csv
step104_pair_方円_5_0002320,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,高台院|武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役),高台院|武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役),意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8125,6347,57,195,61,512,96,193,165,154,176,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||高台院|武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)||2-3-4:意気衝天|2-3-4:雄材大略|6-1-2:健康第一|6-1-2:老練闊達|6-1-2:質実剛健,,step171_new_formula_rebuild,16081,16081,jinpo_result_db_5.csv
step104_pair_方円_5_0002174,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,竹中重門|斎藤義龍(新春)|塩屋秋貞|斎藤利三(神祇)|毛利隆元|豊臣秀吉,竹中重門|斎藤義龍(新春)|塩屋秋貞|斎藤利三(神祇)|毛利隆元|豊臣秀吉,世渡り上手の絆|才腕の絆|謀略家|柔能制剛|野心家の絆,世渡り上手の絆|才腕の絆|謀略家|柔能制剛|野心家の絆,7426,3407,47,24,180,426,161,198,207,206,204,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||竹中重門|斎藤義龍(新春)|塩屋秋貞|斎藤利三(神祇)|毛利隆元|豊臣秀吉||4-5-6:世渡り上手の絆|4-5-6:才腕の絆|4-5-6:謀略家|4-5-6:柔能制剛|6-1-2:野心家の絆,,step171_new_formula_rebuild,12486,12486,jinpo_result_db_5.csv
step104_pair_方円_5_0001471,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|井伊直政(勇猛)|井伊直虎,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|井伊直政(勇猛)|井伊直虎,侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8154,4808,239,323,74,93,156,190,205,228,189,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|井伊直政(勇猛)|井伊直虎||2-3-4:侍|2-3-4:根性の絆|2-3-4:泰然自若|4-5-6:猛将の絆|6-1-2:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14659,14659,jinpo_result_db_5.csv
step104_pair_方円_5_0001472,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎,侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8299,4640,239,321,71,84,147,179,191,218,177,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎||2-3-4:侍|2-3-4:根性の絆|2-3-4:泰然自若|4-5-6:猛将の絆|6-1-2:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14566,14566,jinpo_result_db_5.csv
step104_pair_方円_5_0001473,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎,侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8267,4640,231,317,69,84,155,169,179,199,166,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎||2-3-4:侍|2-3-4:根性の絆|2-3-4:泰然自若|4-5-6:猛将の絆|6-1-2:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14476,14476,jinpo_result_db_5.csv
step104_pair_方円_5_0001474,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|真田幸村(新星)|井伊直虎,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|真田幸村(新星)|井伊直虎,侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8115,4624,234,315,68,83,152,167,180,199,169,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|真田幸村(新星)|井伊直虎||2-3-4:侍|2-3-4:根性の絆|2-3-4:泰然自若|4-5-6:猛将の絆|6-1-2:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14306,14306,jinpo_result_db_5.csv
step104_pair_方円_5_0001475,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,5,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|渡辺守綱|井伊直虎,甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|渡辺守綱|井伊直虎,侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8112,4599,228,305,71,84,152,177,190,207,176,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||5||甲斐姫(鷹爪)|山中鹿之介|毛利勝永|長野業正|渡辺守綱|井伊直虎||2-3-4:侍|2-3-4:根性の絆|2-3-4:泰然自若|4-5-6:猛将の絆|6-1-2:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14301,14301,jinpo_result_db_5.csv
