result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
step104_pair_方円_6_0000004,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,豊臣秀次|豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子),豊臣秀次|豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子),侍|野心家の絆|才腕の絆|意気衝天|技巧伝承|知勇兼備,侍|野心家の絆|才腕の絆|意気衝天|技巧伝承|知勇兼備,9786,5652,133,106,402,345,231,300,299,292,299,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||豊臣秀次|豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)||2-3-4:侍|2-3-4:野心家の絆|2-3-4:才腕の絆|4-5-6:意気衝天|6-1-2:技巧伝承|6-1-2:知勇兼備,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,17845,17845,jinpo_result_db_6.csv
step104_pair_方円_6_0001606,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,香宗我部親泰|豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子),香宗我部親泰|豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子),侍|野心家の絆|才腕の絆|意気衝天|軍学の絆|知勇兼備,侍|野心家の絆|才腕の絆|意気衝天|軍学の絆|知勇兼備,9818,5524,138,172,234,420,231,220,221,212,220,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||香宗我部親泰|豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)||2-3-4:侍|2-3-4:野心家の絆|2-3-4:才腕の絆|4-5-6:意気衝天|6-1-2:軍学の絆|6-1-2:知勇兼備,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,17410,17410,jinpo_result_db_6.csv
step104_pair_方円_6_0001644,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,出雲阿国(野望)|堀秀政|雑賀孫市(道化)|柳生宗矩|尼子晴久|魔女ルシア,出雲阿国(野望)|堀秀政|雑賀孫市(道化)|柳生宗矩|尼子晴久|魔女ルシア,才腕の絆|文明開化|技巧伝承|多芸多才|流行創出|花鳥風月,才腕の絆|文明開化|技巧伝承|多芸多才|流行創出|花鳥風月,9360,2802,86,65,367,302,484,629,630,657,719,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||出雲阿国(野望)|堀秀政|雑賀孫市(道化)|柳生宗矩|尼子晴久|魔女ルシア||2-3-4:才腕の絆|2-3-4:文明開化|2-3-4:技巧伝承|2-3-4:多芸多才|4-5-6:流行創出|6-1-2:花鳥風月,fallback_hero_stats:尼子晴久,step171_new_formula_rebuild,16101,16101,jinpo_result_db_6.csv
step104_pair_方円_6_0002700,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,鬼庭左月斎|高台院|三好長慶(生殺)|明石全登|尼子晴久|願証寺証恵,鬼庭左月斎|高台院|三好長慶(生殺)|明石全登|尼子晴久|願証寺証恵,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,8384,6507,57,111,0,686,308,133,128,127,139,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||鬼庭左月斎|高台院|三好長慶(生殺)|明石全登|尼子晴久|願証寺証恵||2-3-4:明敏の絆|2-3-4:老練闊達|2-3-4:才気煥発|4-5-6:雄材大略|6-1-2:健康第一|6-1-2:王佐之才,fallback_hero_stats:尼子晴久,step171_new_formula_rebuild,16580,16580,jinpo_result_db_6.csv
step101_new_eiketsu_方円_7_009196,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,方円,通常,6,納涼忍お綾|堀秀政|出雲阿国(野望)|魔女ルシア|尼子晴久|大内義隆,納涼忍お綾|堀秀政|出雲阿国(野望)|魔女ルシア|尼子晴久|大内義隆,文明開化|花鳥風月|流行創出|才腕の絆|技巧伝承|多芸多才,文明開化|花鳥風月|流行創出|才腕の絆|技巧伝承|多芸多才,9216,2802,83,59,377,320,479,636,644,651,715,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||納涼忍お綾|堀秀政|出雲阿国(野望)|魔女ルシア|尼子晴久|大内義隆||2-3-4:文明開化|2-3-4:花鳥風月|4-5-6:流行創出|6-1-2:才腕の絆|6-1-2:技巧伝承|6-1-2:多芸多才,fallback_hero_stats:尼子晴久,step171_new_formula_rebuild,15982,15982,jinpo_result_db_6.csv
step104_pair_方円_6_0002701,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,鬼庭左月斎|高台院|今川義元(周年)|明石全登|尼子晴久|願証寺証恵,鬼庭左月斎|高台院|今川義元(周年)|明石全登|尼子晴久|願証寺証恵,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,8346,6515,64,112,0,668,309,128,124,127,134,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||鬼庭左月斎|高台院|今川義元(周年)|明石全登|尼子晴久|願証寺証恵||2-3-4:明敏の絆|2-3-4:老練闊達|2-3-4:才気煥発|4-5-6:雄材大略|6-1-2:健康第一|6-1-2:王佐之才,fallback_hero_stats:尼子晴久,step171_new_formula_rebuild,16527,16527,jinpo_result_db_6.csv
step104_pair_方円_6_0000003,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,三好長慶(生殺)|高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎,三好長慶(生殺)|高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎,健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,8363,5596,53,121,0,661,425,144,155,148,140,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||三好長慶(生殺)|高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎||2-3-4:健康第一|2-3-4:王佐之才|4-5-6:密教の絆|4-5-6:才気煥発|6-1-2:明敏の絆|6-1-2:老練闊達,fallback_hero_stats:小田氏治,step171_new_formula_rebuild,15806,15806,jinpo_result_db_6.csv
step104_pair_方円_6_0000005,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,今川義元(周年)|高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎,今川義元(周年)|高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎,健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,8326,5603,60,122,0,643,426,139,150,148,136,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||今川義元(周年)|高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎||2-3-4:健康第一|2-3-4:王佐之才|4-5-6:密教の絆|4-5-6:才気煥発|6-1-2:明敏の絆|6-1-2:老練闊達,fallback_hero_stats:小田氏治,step171_new_formula_rebuild,15753,15753,jinpo_result_db_6.csv
step104_pair_方円_6_0001714,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,出雲阿国(野望)|堀秀政|雑賀孫市(道化)|柳生宗矩|小田氏治|魔女ルシア,出雲阿国(野望)|堀秀政|雑賀孫市(道化)|柳生宗矩|小田氏治|魔女ルシア,才腕の絆|文明開化|技巧伝承|多芸多才|流行創出|花鳥風月,才腕の絆|文明開化|技巧伝承|多芸多才|流行創出|花鳥風月,9271,2726,78,66,326,290,467,627,649,649,679,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||出雲阿国(野望)|堀秀政|雑賀孫市(道化)|柳生宗矩|小田氏治|魔女ルシア||2-3-4:才腕の絆|2-3-4:文明開化|2-3-4:技巧伝承|2-3-4:多芸多才|4-5-6:流行創出|6-1-2:花鳥風月,fallback_hero_stats:小田氏治,step171_new_formula_rebuild,15828,15828,jinpo_result_db_6.csv
step104_pair_方円_6_0002704,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,方円,通常,6,鬼庭左月斎|高台院|三好長慶(生殺)|明石全登|小田氏治|願証寺証恵,鬼庭左月斎|高台院|三好長慶(生殺)|明石全登|小田氏治|願証寺証恵,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,8300,6294,50,113,0,656,295,133,133,125,129,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||6||鬼庭左月斎|高台院|三好長慶(生殺)|明石全登|小田氏治|願証寺証恵||2-3-4:明敏の絆|2-3-4:老練闊達|2-3-4:才気煥発|4-5-6:雄材大略|6-1-2:健康第一|6-1-2:王佐之才,fallback_hero_stats:小田氏治,step171_new_formula_rebuild,16228,16228,jinpo_result_db_6.csv
