result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,eiketsu_internal_ids,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
step174_7_126001,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0188|EIK_0068|EIK_0331|EIK_0247|EIK_0103|EIK_0101,斎藤道三(巳)|島津義久|果心居士|島左近|長野業正|山県昌景(泰然),EIK_0188|EIK_0068|EIK_0331|EIK_0247|EIK_0103|EIK_0101,柔能制剛|謀略家|侍|もののふ|根性の絆|泰然自若|知勇兼備,柔能制剛|謀略家|侍|もののふ|根性の絆|泰然自若|知勇兼備,10046,1364,307,415,192,343,212,342,343,365,354,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0068|EIK_0101|EIK_0103|EIK_0188|EIK_0247|EIK_0331||もののふ|侍|柔能制剛|根性の絆|泰然自若|知勇兼備|謀略家,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126002,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0188|EIK_0087|EIK_0034|EIK_0204|EIK_0349|EIK_0022,斎藤道三(巳)|香宗我部親泰|直江兼続(王佐)|北条氏康(獅子)|朝倉景恒|佐竹義重,EIK_0188|EIK_0087|EIK_0034|EIK_0204|EIK_0349|EIK_0022,柔能制剛|立役者|技巧伝承|勇将の絆|侍|知勇兼備|才腕の絆,柔能制剛|立役者|技巧伝承|勇将の絆|侍|知勇兼備|才腕の絆,10177,1289,230,229,374,364,289,336,337,325,333,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0022|EIK_0034|EIK_0087|EIK_0188|EIK_0204|EIK_0349||侍|勇将の絆|才腕の絆|技巧伝承|柔能制剛|知勇兼備|立役者,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126003,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0191|EIK_0095|EIK_0042|EIK_0256|EIK_0228|EIK_0109,上杉謙信(野望)|柳生宗矩|谷忠澄|魔女ルシア|出雲阿国(周年)|大祝鶴,EIK_0191|EIK_0095|EIK_0042|EIK_0256|EIK_0228|EIK_0109,多芸多才|技巧伝承|文明開化|竜飛鳳舞|神主・巫女|洒落者の絆|豪傑,多芸多才|技巧伝承|文明開化|竜飛鳳舞|神主・巫女|洒落者の絆|豪傑,9563,1901,382,55,311,392,470,301,301,291,316,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0042|EIK_0095|EIK_0109|EIK_0191|EIK_0228|EIK_0256||多芸多才|技巧伝承|文明開化|洒落者の絆|神主・巫女|竜飛鳳舞|豪傑,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126004,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0195|EIK_0042|EIK_0156|EIK_0093|EIK_0057|EIK_0114,真田昌幸(吸血)|谷忠澄|前田慶次|大内義隆|大野治長|細川藤孝(立役),EIK_0195|EIK_0042|EIK_0156|EIK_0093|EIK_0057|EIK_0114,傾奇者|多芸多才|文明開化|山紫水明|技巧伝承|文化人の絆|巧言令色,傾奇者|多芸多才|文明開化|山紫水明|技巧伝承|文化人の絆|巧言令色,9856,994,126,143,322,365,465,500,496,491,525,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0042|EIK_0057|EIK_0093|EIK_0114|EIK_0156|EIK_0195||傾奇者|多芸多才|山紫水明|巧言令色|技巧伝承|文化人の絆|文明開化,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126005,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0211|EIK_0095|EIK_0042|EIK_0256|EIK_0242|EIK_0070,もののふ小町|柳生宗矩|谷忠澄|魔女ルシア|仙桃院|前田利家(兎忍),EIK_0211|EIK_0095|EIK_0042|EIK_0256|EIK_0242|EIK_0070,多芸多才|技巧伝承|文明開化|竜飛鳳舞|戦場の華|武芸の絆|流行創出,多芸多才|技巧伝承|文明開化|竜飛鳳舞|戦場の華|武芸の絆|流行創出,10277,903,352,113,281,447,430,347,405,334,394,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0042|EIK_0070|EIK_0095|EIK_0211|EIK_0242|EIK_0256||多芸多才|戦場の華|技巧伝承|文明開化|武芸の絆|流行創出|竜飛鳳舞,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126006,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0211|EIK_0095|EIK_0166|EIK_0256|EIK_0199|EIK_0070,もののふ小町|柳生宗矩|太原雪斎|魔女ルシア|長宗我部元親(納涼)|前田利家(兎忍),EIK_0211|EIK_0095|EIK_0166|EIK_0256|EIK_0199|EIK_0070,技巧伝承|文明開化|文化人の絆|洒落者の絆|戦場の華|武芸の絆|流行創出,技巧伝承|文明開化|文化人の絆|洒落者の絆|戦場の華|武芸の絆|流行創出,9863,925,150,53,300,236,475,526,661,502,592,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0070|EIK_0095|EIK_0166|EIK_0199|EIK_0211|EIK_0256||戦場の華|技巧伝承|文化人の絆|文明開化|武芸の絆|洒落者の絆|流行創出,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126007,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0217|EIK_0095|EIK_0042|EIK_0256|EIK_0101|EIK_0249,宮本武蔵(涼)|柳生宗矩|谷忠澄|魔女ルシア|山県昌景(泰然)|道場娘まり(和装),EIK_0217|EIK_0095|EIK_0042|EIK_0256|EIK_0101|EIK_0249,多芸多才|技巧伝承|文明開化|竜飛鳳舞|侍|剣豪の絆|豪傑,多芸多才|技巧伝承|文明開化|竜飛鳳舞|侍|剣豪の絆|豪傑,10211,1464,614,109,401,293,335,201,212,196,247,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0042|EIK_0095|EIK_0101|EIK_0217|EIK_0249|EIK_0256||侍|剣豪の絆|多芸多才|技巧伝承|文明開化|竜飛鳳舞|豪傑,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126008,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0224|EIK_0082|EIK_0226|EIK_0095|EIK_0042|EIK_0256,黒猫ノア|山中鹿之介|柴田勝家(風雲)|柳生宗矩|谷忠澄|魔女ルシア,EIK_0224|EIK_0082|EIK_0226|EIK_0095|EIK_0042|EIK_0256,武芸の絆|多芸多才|技巧伝承|文明開化|竜飛鳳舞|流行創出|戦場の華,武芸の絆|多芸多才|技巧伝承|文明開化|竜飛鳳舞|流行創出|戦場の華,10010,903,388,111,307,449,446,405,409,430,425,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0042|EIK_0082|EIK_0095|EIK_0224|EIK_0226|EIK_0256||多芸多才|戦場の華|技巧伝承|文明開化|武芸の絆|流行創出|竜飛鳳舞,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126009,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0225|EIK_0092|EIK_0093|EIK_0095|EIK_0042|EIK_0256,佐々木小次郎(涼)|細川忠興(山紫)|大内義隆|柳生宗矩|谷忠澄|魔女ルシア,EIK_0225|EIK_0092|EIK_0093|EIK_0095|EIK_0042|EIK_0256,山紫水明|文化人の絆|多芸多才|技巧伝承|文明開化|竜飛鳳舞|豪傑,山紫水明|文化人の絆|多芸多才|技巧伝承|文明開化|竜飛鳳舞|豪傑,9814,925,354,54,446,458,291,481,487,478,495,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0042|EIK_0092|EIK_0093|EIK_0095|EIK_0225|EIK_0256||多芸多才|山紫水明|技巧伝承|文化人の絆|文明開化|竜飛鳳舞|豪傑,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126010,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0226|EIK_0082|EIK_0089|EIK_0103|EIK_0086|EIK_0353,柴田勝家(風雲)|山中鹿之介|村上義清|長野業正|毛利勝永|福島勝広,EIK_0226|EIK_0082|EIK_0089|EIK_0103|EIK_0086|EIK_0353,勇猛果敢|泰然自若|根性の絆|猛将の絆|侍|武芸の絆|もののふ,勇猛果敢|泰然自若|根性の絆|猛将の絆|侍|武芸の絆|もののふ,10162,2090,614,393,206,0,129,166,172,185,166,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0082|EIK_0086|EIK_0089|EIK_0103|EIK_0226|EIK_0353||もののふ|侍|勇猛果敢|根性の絆|武芸の絆|泰然自若|猛将の絆,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
step174_7_126011,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_7.csv,方円,通常,7,EIK_0230|EIK_0093|EIK_0108|EIK_0114|EIK_0287|EIK_0040,出雲阿国(野望)|大内義隆|名古屋山三郎|細川藤孝(立役)|榊原康政|北条氏邦,EIK_0230|EIK_0093|EIK_0108|EIK_0114|EIK_0287|EIK_0040,山紫水明|技巧伝承|文化人の絆|文明開化|泰然自若|多芸多才|流行創出,山紫水明|技巧伝承|文化人の絆|文明開化|泰然自若|多芸多才|流行創出,9424,875,70,179,308,377,368,674,699,653,656,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),方円||通常||7||EIK_0040|EIK_0093|EIK_0108|EIK_0114|EIK_0230|EIK_0287||多芸多才|山紫水明|技巧伝承|文化人の絆|文明開化|泰然自若|流行創出,,step174_validate_repair_7_9,14283,14283,jinpo_result_db_7_part008.csv
