result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file
db79_1069_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,5,武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)|愛姫(起源),武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)|愛姫(起源),意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8120,6416,75,220,74,435,88,166,160,158,152,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)|愛姫(起源)||1-2-3:意気衝天|1-2-3:雄材大略|5-6-1:健康第一|5-6-1:老練闊達|5-6-1:質実剛健,,step171_new_formula_rebuild,16064,16064,jinpo_result_db_5.csv
db79_1239_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,5,武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|愛姫(起源),武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|愛姫(起源),意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8125,6375,69,217,72,459,88,178,154,146,164,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|愛姫(起源)||1-2-3:意気衝天|1-2-3:雄材大略|5-6-1:健康第一|5-6-1:老練闊達|5-6-1:質実剛健,,step171_new_formula_rebuild,16047,16047,jinpo_result_db_5.csv
db79_1382_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,5,武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)|高台院,武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)|高台院,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8120,6387,69,216,70,444,88,164,158,152,148,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||武田晴信|北条綱成(籠城)|黒百合(納涼)|織田信長|細川藤孝(立役)|高台院||1-2-3:意気衝天|1-2-3:雄材大略|5-6-1:健康第一|5-6-1:老練闊達|5-6-1:質実剛健,,step171_new_formula_rebuild,16016,16016,jinpo_result_db_5.csv
db79_1632_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,5,武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|高台院,武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|高台院,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,意気衝天|雄材大略|健康第一|老練闊達|質実剛健,8125,6347,62,214,67,466,88,176,150,140,160,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||武田晴信|北条綱成(籠城)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|高台院||1-2-3:意気衝天|1-2-3:雄材大略|5-6-1:健康第一|5-6-1:老練闊達|5-6-1:質実剛健,,step171_new_formula_rebuild,15995,15995,jinpo_result_db_5.csv
step101_new_eiketsu_魚鱗_7_006891,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|毛利勝永|長野業正|井伊直政(勇猛)|井伊直虎|甲斐姫(鷹爪),山中鹿之介|毛利勝永|長野業正|井伊直政(勇猛)|井伊直虎|甲斐姫(鷹爪),侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8154,4808,262,355,81,85,142,173,187,208,172,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|毛利勝永|長野業正|井伊直政(勇猛)|井伊直虎|甲斐姫(鷹爪)||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:猛将の絆|5-6-1:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14627,14627,jinpo_result_db_5.csv
step101_new_eiketsu_魚鱗_7_006895,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎|甲斐姫(鷹爪),山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎|甲斐姫(鷹爪),侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8299,4640,262,353,78,77,134,163,174,199,161,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎|甲斐姫(鷹爪)||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:猛将の絆|5-6-1:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14540,14540,jinpo_result_db_5.csv
step101_new_eiketsu_魚鱗_7_006841,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|後藤又兵衛|長野業正|井伊直政(勇猛)|井伊直虎|甲斐姫(鷹爪),山中鹿之介|後藤又兵衛|長野業正|井伊直政(勇猛)|井伊直虎|甲斐姫(鷹爪),猛将の絆|根性の絆|泰然自若|侍|意気衝天,猛将の絆|根性の絆|泰然自若|侍|意気衝天,8041,4868,250,353,81,79,137,166,180,201,163,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|後藤又兵衛|長野業正|井伊直政(勇猛)|井伊直虎|甲斐姫(鷹爪)||1-2-3:猛将の絆|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:侍|5-6-1:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14519,14519,jinpo_result_db_5.csv
db79_12100_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,5,武田晴信|丹羽長秀(風雲)|黒百合(納涼)|織田信長|細川藤孝(立役)|愛姫(起源),武田晴信|丹羽長秀(風雲)|黒百合(納涼)|織田信長|細川藤孝(立役)|愛姫(起源),雄材大略|摂理探究|健康第一|老練闊達|質実剛健,雄材大略|摂理探究|健康第一|老練闊達|質実剛健,7972,4217,157,215,0,439,92,332,357,352,324,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||武田晴信|丹羽長秀(風雲)|黒百合(納涼)|織田信長|細川藤孝(立役)|愛姫(起源)||1-2-3:雄材大略|1-2-3:摂理探究|5-6-1:健康第一|5-6-1:老練闊達|5-6-1:質実剛健,,step171_new_formula_rebuild,14457,14457,jinpo_result_db_5.csv
db79_13666_uorin,RULE103_RECALCULATED_RESULT,jinpo_result_db_7.csv,魚鱗,通常,5,武田晴信|丹羽長秀(風雲)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|愛姫(起源),武田晴信|丹羽長秀(風雲)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|愛姫(起源),雄材大略|摂理探究|健康第一|老練闊達|質実剛健,雄材大略|摂理探究|健康第一|老練闊達|質実剛健,7980,4191,143,214,0,463,91,356,344,328,345,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||武田晴信|丹羽長秀(風雲)|黒百合(納涼)|明智光秀(十七)|細川藤孝(立役)|愛姫(起源)||1-2-3:雄材大略|1-2-3:摂理探究|5-6-1:健康第一|5-6-1:老練闊達|5-6-1:質実剛健,,step171_new_formula_rebuild,14455,14455,jinpo_result_db_5.csv
step101_new_eiketsu_魚鱗_7_006899,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎|甲斐姫(鷹爪),山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎|甲斐姫(鷹爪),侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8267,4640,254,348,75,77,141,154,163,181,151,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎|甲斐姫(鷹爪)||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:猛将の絆|5-6-1:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14451,14451,jinpo_result_db_5.csv
