result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file,sort_key,sort_value
step101_new_eiketsu_魚鱗_7_000147,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|長野業正|毛利勝永|武田晴信|井伊直虎|甲斐姫(鷹爪),山中鹿之介|長野業正|毛利勝永|武田晴信|井伊直虎|甲斐姫(鷹爪),侍|根性の絆|泰然自若|軍学の絆|意気衝天,侍|根性の絆|泰然自若|軍学の絆|意気衝天,8456,2842,89,433,78,166,226,183,193,208,179,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|長野業正|毛利勝永|武田晴信|井伊直虎|甲斐姫(鷹爪)||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:軍学の絆|3-4-5:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,13053,13053,jinpo_result_db_5.csv,生命,8456
step104_pair_魚鱗_5_0002055,RULE104_FISH_HOEN_PAIR_RESULT,step104_pair_generated_from_step103,魚鱗,通常,5,山中鹿之介|甲斐姫(鷹爪)|井伊直虎|武田晴信|毛利勝永|長野業正,山中鹿之介|甲斐姫(鷹爪)|井伊直虎|武田晴信|毛利勝永|長野業正,侍|意気衝天|軍学の絆|根性の絆|泰然自若,侍|意気衝天|軍学の絆|根性の絆|泰然自若,8456,2842,89,433,78,166,226,183,193,208,179,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|甲斐姫(鷹爪)|井伊直虎|武田晴信|毛利勝永|長野業正||1-2-3:侍|1-2-3:意気衝天|3-4-5:軍学の絆|5-6-1:根性の絆|5-6-1:泰然自若,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,13053,13053,jinpo_result_db_5.csv,生命,8456
step101_new_eiketsu_魚鱗_7_007042,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,毛利勝永|長野業正|山県昌景(泰然)|甲斐姫(鷹爪)|井伊直虎|武田晴信,毛利勝永|長野業正|山県昌景(泰然)|甲斐姫(鷹爪)|井伊直虎|武田晴信,侍|根性の絆|泰然自若|意気衝天|軍学の絆,侍|根性の絆|泰然自若|意気衝天|軍学の絆,8424,2781,89,432,77,165,221,187,196,207,182,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||毛利勝永|長野業正|山県昌景(泰然)|甲斐姫(鷹爪)|井伊直虎|武田晴信||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:意気衝天|5-6-1:軍学の絆,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,12961,12961,jinpo_result_db_5.csv,生命,8424
step101_new_eiketsu_魚鱗_7_001052,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,大内義隆|雑賀孫市(道化)|堀秀政|蜂須賀正勝|細川藤孝(立役)|羽柴秀吉(涼),大内義隆|雑賀孫市(道化)|堀秀政|蜂須賀正勝|細川藤孝(立役)|羽柴秀吉(涼),才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,8395,1161,90,149,374,184,495,381,385,396,399,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||大内義隆|雑賀孫市(道化)|堀秀政|蜂須賀正勝|細川藤孝(立役)|羽柴秀吉(涼)||1-2-3:才腕の絆|1-2-3:文明開化|1-2-3:技巧伝承|1-2-3:多芸多才|3-4-5:巧言令色,fallback_hero_stats:羽柴秀吉(涼),step171_new_formula_rebuild,12409,12409,jinpo_result_db_5.csv,生命,8395
step101_new_eiketsu_魚鱗_7_001066,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,大内義隆|雑賀孫市(道化)|堀秀政|豊臣秀吉|細川藤孝(立役)|羽柴秀吉(涼),大内義隆|雑賀孫市(道化)|堀秀政|豊臣秀吉|細川藤孝(立役)|羽柴秀吉(涼),才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,8392,1120,86,151,372,189,499,371,386,405,395,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||大内義隆|雑賀孫市(道化)|堀秀政|豊臣秀吉|細川藤孝(立役)|羽柴秀吉(涼)||1-2-3:才腕の絆|1-2-3:文明開化|1-2-3:技巧伝承|1-2-3:多芸多才|3-4-5:巧言令色,fallback_hero_stats:羽柴秀吉(涼),step171_new_formula_rebuild,12366,12366,jinpo_result_db_5.csv,生命,8392
step101_new_eiketsu_魚鱗_7_000940,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,堀秀政|雑賀孫市(道化)|柳生宗矩|羽柴秀吉(涼)|細川藤孝(立役)|蜂須賀正勝,堀秀政|雑賀孫市(道化)|柳生宗矩|羽柴秀吉(涼)|細川藤孝(立役)|蜂須賀正勝,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,8334,1161,94,151,383,180,488,379,375,390,404,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||堀秀政|雑賀孫市(道化)|柳生宗矩|羽柴秀吉(涼)|細川藤孝(立役)|蜂須賀正勝||1-2-3:才腕の絆|1-2-3:文明開化|1-2-3:技巧伝承|1-2-3:多芸多才|5-6-1:巧言令色,fallback_hero_stats:羽柴秀吉(涼),step171_new_formula_rebuild,12339,12339,jinpo_result_db_5.csv,生命,8334
step101_new_eiketsu_魚鱗_7_000951,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,堀秀政|雑賀孫市(道化)|柳生宗矩|羽柴秀吉(涼)|細川藤孝(立役)|豊臣秀吉,堀秀政|雑賀孫市(道化)|柳生宗矩|羽柴秀吉(涼)|細川藤孝(立役)|豊臣秀吉,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,8334,1120,91,156,381,185,493,369,377,399,400,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||堀秀政|雑賀孫市(道化)|柳生宗矩|羽柴秀吉(涼)|細川藤孝(立役)|豊臣秀吉||1-2-3:才腕の絆|1-2-3:文明開化|1-2-3:技巧伝承|1-2-3:多芸多才|5-6-1:巧言令色,fallback_hero_stats:羽柴秀吉(涼),step171_new_formula_rebuild,12305,12305,jinpo_result_db_5.csv,生命,8334
step101_new_eiketsu_魚鱗_7_006895,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎|甲斐姫(鷹爪),山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎|甲斐姫(鷹爪),侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8299,4640,262,353,78,77,134,163,174,199,161,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|毛利勝永|長野業正|柴田勝家(風雲)|井伊直虎|甲斐姫(鷹爪)||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:猛将の絆|5-6-1:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14540,14540,jinpo_result_db_5.csv,生命,8299
step101_new_eiketsu_魚鱗_7_006899,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎|甲斐姫(鷹爪),山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎|甲斐姫(鷹爪),侍|根性の絆|泰然自若|猛将の絆|意気衝天,侍|根性の絆|泰然自若|猛将の絆|意気衝天,8267,4640,254,348,75,77,141,154,163,181,151,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||山中鹿之介|毛利勝永|長野業正|伊達政宗(新星)|井伊直虎|甲斐姫(鷹爪)||1-2-3:侍|1-2-3:根性の絆|1-2-3:泰然自若|3-4-5:猛将の絆|5-6-1:意気衝天,fallback_hero_stats:甲斐姫(鷹爪),step171_new_formula_rebuild,14451,14451,jinpo_result_db_5.csv,生命,8267
step101_new_eiketsu_魚鱗_7_000905,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,5,大内義隆|納涼忍お綾|堀秀政|蜂須賀正勝|細川藤孝(立役)|羽柴秀吉(涼),大内義隆|納涼忍お綾|堀秀政|蜂須賀正勝|細川藤孝(立役)|羽柴秀吉(涼),才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,才腕の絆|文明開化|技巧伝承|多芸多才|巧言令色,8212,1161,91,138,394,193,485,385,383,385,402,ステータス計算済み,陣法説明(6).xlsx準拠。配置6人の合計×発動因縁倍率を因縁ごとにfloor後合算し、最後に陣形倍率を適用。,NEW_FORMULA_REBUILD_20260603_XLSX6,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||5||大内義隆|納涼忍お綾|堀秀政|蜂須賀正勝|細川藤孝(立役)|羽柴秀吉(涼)||1-2-3:才腕の絆|1-2-3:文明開化|1-2-3:技巧伝承|1-2-3:多芸多才|3-4-5:巧言令色,fallback_hero_stats:羽柴秀吉(涼),step171_new_formula_rebuild,12229,12229,jinpo_result_db_5.csv,生命,8212
