result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file,sort_key,sort_value
step101_new_eiketsu_魚鱗_7_000051,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)|豊臣秀次,豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)|豊臣秀次,侍|野心家の絆|才腕の絆|意気衝天|技巧伝承|知勇兼備,侍|野心家の絆|才腕の絆|意気衝天|技巧伝承|知勇兼備,11304,5306,148,95,469,329,201,301,308,305,304,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)|豊臣秀次||1-2-3:侍|1-2-3:野心家の絆|1-2-3:才腕の絆|3-4-5:意気衝天|5-6-1:技巧伝承|5-6-1:知勇兼備,bond_count_changed:7->6,step103_rules_dedup_rebuild,19070,19070,jinpo_result_db_6.csv,total_score,19070
step101_new_eiketsu_魚鱗_7_004025,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)|香宗我部親泰,豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)|香宗我部親泰,侍|野心家の絆|才腕の絆|意気衝天|軍学の絆|知勇兼備,侍|野心家の絆|才腕の絆|意気衝天|軍学の絆|知勇兼備,11493,5263,154,160,271,399,189,232,239,235,234,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||豊臣秀吉|斎藤道三(巳)|伊達政宗(起源)|甲斐姫(鷹爪)|北条氏康(獅子)|香宗我部親泰||1-2-3:侍|1-2-3:野心家の絆|1-2-3:才腕の絆|3-4-5:意気衝天|5-6-1:軍学の絆|5-6-1:知勇兼備,bond_count_changed:7->6,step103_rules_dedup_rebuild,18869,18869,jinpo_result_db_6.csv,total_score,18869
step101_new_eiketsu_魚鱗_7_006855,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|三好長慶(生殺)|明石全登|尼子晴久|願証寺証恵|鬼庭左月斎,高台院|三好長慶(生殺)|明石全登|尼子晴久|願証寺証恵|鬼庭左月斎,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,9300,7306,64,88,0,646,285,90,87,85,98,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|三好長慶(生殺)|明石全登|尼子晴久|願証寺証恵|鬼庭左月斎||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:雄材大略|5-6-1:健康第一|5-6-1:王佐之才,bond_count_changed:7->6,step103_rules_dedup_rebuild,18049,18049,jinpo_result_db_6.csv,total_score,18049
step101_new_eiketsu_魚鱗_7_006857,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|今川義元(周年)|明石全登|尼子晴久|願証寺証恵|鬼庭左月斎,高台院|今川義元(周年)|明石全登|尼子晴久|願証寺証恵|鬼庭左月斎,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,9258,7317,81,88,0,624,285,90,87,85,98,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|今川義元(周年)|明石全登|尼子晴久|願証寺証恵|鬼庭左月斎||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:雄材大略|5-6-1:健康第一|5-6-1:王佐之才,bond_count_changed:7->6,step103_rules_dedup_rebuild,18013,18013,jinpo_result_db_6.csv,total_score,18013
step101_new_eiketsu_魚鱗_7_000050,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎|三好長慶(生殺),高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎|三好長慶(生殺),健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,9868,6378,68,110,0,648,399,122,134,128,123,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎|三好長慶(生殺)||1-2-3:健康第一|1-2-3:王佐之才|3-4-5:密教の絆|3-4-5:才気煥発|5-6-1:明敏の絆|5-6-1:老練闊達,bond_count_changed:7->6,step103_rules_dedup_rebuild,17978,17978,jinpo_result_db_6.csv,total_score,17978
step101_new_eiketsu_魚鱗_7_004149,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,堀秀政|雑賀孫市(道化)|柳生宗矩|尼子晴久|魔女ルシア|出雲阿国(野望),堀秀政|雑賀孫市(道化)|柳生宗矩|尼子晴久|魔女ルシア|出雲阿国(野望),才腕の絆|文明開化|技巧伝承|多芸多才|流行創出|花鳥風月,才腕の絆|文明開化|技巧伝承|多芸多才|流行創出|花鳥風月,10103,4225,89,63,467,222,412,560,563,605,655,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||堀秀政|雑賀孫市(道化)|柳生宗矩|尼子晴久|魔女ルシア|出雲阿国(野望)||1-2-3:才腕の絆|1-2-3:文明開化|1-2-3:技巧伝承|1-2-3:多芸多才|3-4-5:流行創出|5-6-1:花鳥風月,bond_count_changed:7->6,step103_rules_dedup_rebuild,17964,17964,jinpo_result_db_6.csv,total_score,17964
step101_new_eiketsu_魚鱗_7_000054,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎|今川義元(周年),高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎|今川義元(周年),健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,健康第一|王佐之才|密教の絆|才気煥発|明敏の絆|老練闊達,9839,6385,83,110,0,636,399,122,134,128,123,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|真田信幸|甲斐宗運|小田氏治|長尾景虎|今川義元(周年)||1-2-3:健康第一|1-2-3:王佐之才|3-4-5:密教の絆|3-4-5:才気煥発|5-6-1:明敏の絆|5-6-1:老練闊達,bond_count_changed:7->6,step103_rules_dedup_rebuild,17959,17959,jinpo_result_db_6.csv,total_score,17959
step101_new_eiketsu_魚鱗_7_006862,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|三好長慶(生殺)|明石全登|小田氏治|願証寺証恵|鬼庭左月斎,高台院|三好長慶(生殺)|明石全登|小田氏治|願証寺証恵|鬼庭左月斎,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,9270,7250,64,88,0,636,285,90,91,83,90,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|三好長慶(生殺)|明石全登|小田氏治|願証寺証恵|鬼庭左月斎||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:雄材大略|5-6-1:健康第一|5-6-1:王佐之才,bond_count_changed:7->6,step103_rules_dedup_rebuild,17947,17947,jinpo_result_db_6.csv,total_score,17947
step101_new_eiketsu_魚鱗_7_006858,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|三好長慶(生殺)|明石全登|羽柴秀吉(涼)|願証寺証恵|鬼庭左月斎,高台院|三好長慶(生殺)|明石全登|羽柴秀吉(涼)|願証寺証恵|鬼庭左月斎,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,9323,7244,64,88,0,624,285,80,80,74,81,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|三好長慶(生殺)|明石全登|羽柴秀吉(涼)|願証寺証恵|鬼庭左月斎||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:雄材大略|5-6-1:健康第一|5-6-1:王佐之才,bond_count_changed:7->6,step103_rules_dedup_rebuild,17943,17943,jinpo_result_db_6.csv,total_score,17943
step101_new_eiketsu_魚鱗_7_006864,RULE103_RECALCULATED_RESULT,step101_new_eiketsu_generated_rows_7_9.csv,魚鱗,通常,6,高台院|今川義元(周年)|明石全登|小田氏治|願証寺証恵|鬼庭左月斎,高台院|今川義元(周年)|明石全登|小田氏治|願証寺証恵|鬼庭左月斎,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,明敏の絆|老練闊達|才気煥発|雄材大略|健康第一|王佐之才,9228,7261,81,88,0,614,285,90,91,83,90,ステータス計算済み,陣法説明(4).xlsx準拠。同一因縁は重複発動不可として、各陣形の有効ライン抽出後に因縁名重複を除外して再計算。,FORMULA_RECALCULATED_STEP103_RULES_DEDUP,各陣形有効ラインで因縁抽出→同じ因縁名は1回だけ採用→Σ floor(成立ライン3人合計×因縁実効係数)→最後に陣形倍率適用,魚鱗||通常||6||高台院|今川義元(周年)|明石全登|小田氏治|願証寺証恵|鬼庭左月斎||1-2-3:明敏の絆|1-2-3:老練闊達|1-2-3:才気煥発|3-4-5:雄材大略|5-6-1:健康第一|5-6-1:王佐之才,bond_count_changed:7->6,step103_rules_dedup_rebuild,17911,17911,jinpo_result_db_6.csv,total_score,17911
