result_id,record_type,source_file,formation,grade3_flag,bond_count,eiketsu_ids,eiketsu_names,eiketsu_internal_ids,bond_ids,bond_names,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,stat_status,stat_note,calc_source,calc_formula,duplicate_key,calc_warning,calc_filled_at_step,総合値,total_score,top300_source_file,sort_key,sort_value
step174_8_010921,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0015|EIK_0012|EIK_0066|EIK_0001|EIK_0204|EIK_0018,武田晴信|前田利家(雄材)|鍋島直茂(乱雲)|豊臣秀長|北条氏康(獅子)|雫の者,EIK_0015|EIK_0012|EIK_0066|EIK_0001|EIK_0204|EIK_0018,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,13940,4169,239,284,137,883,335,585,591,585,563,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0066|EIK_0204||意気衝天|摂理探究|知勇兼備|立役者|謀略家|質実剛健|軍学の絆|雄材大略,,step174_validate_repair_7_9,22311,22311,jinpo_result_db_8.csv,生命,13940
step174_8_010922,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0015|EIK_0378|EIK_0066|EIK_0001|EIK_0204|EIK_0018,武田晴信|前田利家|鍋島直茂(乱雲)|豊臣秀長|北条氏康(獅子)|雫の者,EIK_0015|EIK_0378|EIK_0066|EIK_0001|EIK_0204|EIK_0018,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,13940,4169,239,284,137,883,335,585,591,585,563,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0015|EIK_0018|EIK_0066|EIK_0204|EIK_0378||意気衝天|摂理探究|知勇兼備|立役者|謀略家|質実剛健|軍学の絆|雄材大略,,step174_validate_repair_7_9,22311,22311,jinpo_result_db_8.csv,生命,13940
step174_8_010907,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0204|EIK_0068,豊臣秀長|前田利家(雄材)|武田晴信|雫の者|北条氏康(獅子)|島津義久,EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0204|EIK_0068,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|知勇兼備,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|知勇兼備,13876,4395,228,243,242,925,243,596,603,601,581,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0068|EIK_0204||意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|謀略家|質実剛健|雄材大略,,step174_validate_repair_7_9,22533,22533,jinpo_result_db_8.csv,生命,13876
step174_8_010908,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0001|EIK_0378|EIK_0015|EIK_0018|EIK_0204|EIK_0068,豊臣秀長|前田利家|武田晴信|雫の者|北条氏康(獅子)|島津義久,EIK_0001|EIK_0378|EIK_0015|EIK_0018|EIK_0204|EIK_0068,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|知勇兼備,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|知勇兼備,13876,4395,228,243,242,925,243,596,603,601,581,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0015|EIK_0018|EIK_0068|EIK_0204|EIK_0378||意気衝天|摂理探究|柔能制剛|知勇兼備|立役者|謀略家|質実剛健|雄材大略,,step174_validate_repair_7_9,22533,22533,jinpo_result_db_8.csv,生命,13876
step174_8_011224,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0204|EIK_0034,豊臣秀長|前田利家(雄材)|武田晴信|雫の者|北条氏康(獅子)|直江兼続(王佐),EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0204|EIK_0034,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|技巧伝承,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|技巧伝承,13863,3432,160,185,356,855,255,616,612,611,583,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0012|EIK_0015|EIK_0018|EIK_0034|EIK_0204||意気衝天|技巧伝承|摂理探究|柔能制剛|立役者|謀略家|質実剛健|雄材大略,,step174_validate_repair_7_9,21528,21528,jinpo_result_db_8.csv,生命,13863
step174_8_011225,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0001|EIK_0378|EIK_0015|EIK_0018|EIK_0204|EIK_0034,豊臣秀長|前田利家|武田晴信|雫の者|北条氏康(獅子)|直江兼続(王佐),EIK_0001|EIK_0378|EIK_0015|EIK_0018|EIK_0204|EIK_0034,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|技巧伝承,摂理探究|謀略家|雄材大略|意気衝天|質実剛健|柔能制剛|立役者|技巧伝承,13863,3432,160,185,356,855,255,616,612,611,583,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0015|EIK_0018|EIK_0034|EIK_0204|EIK_0378||意気衝天|技巧伝承|摂理探究|柔能制剛|立役者|謀略家|質実剛健|雄材大略,,step174_validate_repair_7_9,21528,21528,jinpo_result_db_8.csv,生命,13863
step174_8_010911,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0015|EIK_0012|EIK_0066|EIK_0001|EIK_0204|EIK_0016,武田晴信|前田利家(雄材)|鍋島直茂(乱雲)|豊臣秀長|北条氏康(獅子)|三条の方,EIK_0015|EIK_0012|EIK_0066|EIK_0001|EIK_0204|EIK_0016,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,13852,4422,247,284,136,883,333,570,571,581,574,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0012|EIK_0015|EIK_0016|EIK_0066|EIK_0204||意気衝天|摂理探究|知勇兼備|立役者|謀略家|質実剛健|軍学の絆|雄材大略,,step174_validate_repair_7_9,22453,22453,jinpo_result_db_8.csv,生命,13852
step174_8_010912,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0015|EIK_0378|EIK_0066|EIK_0001|EIK_0204|EIK_0016,武田晴信|前田利家|鍋島直茂(乱雲)|豊臣秀長|北条氏康(獅子)|三条の方,EIK_0015|EIK_0378|EIK_0066|EIK_0001|EIK_0204|EIK_0016,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,摂理探究|雄材大略|謀略家|軍学の絆|立役者|知勇兼備|質実剛健|意気衝天,13852,4422,247,284,136,883,333,570,571,581,574,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0015|EIK_0016|EIK_0066|EIK_0204|EIK_0378||意気衝天|摂理探究|知勇兼備|立役者|謀略家|質実剛健|軍学の絆|雄材大略,,step174_validate_repair_7_9,22453,22453,jinpo_result_db_8.csv,生命,13852
step174_8_010937,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0015|EIK_0388|EIK_0204|EIK_0066|EIK_0001|EIK_0012,武田晴信|お市(八雷)|北条氏康(獅子)|鍋島直茂(乱雲)|豊臣秀長|前田利家(雄材),EIK_0015|EIK_0388|EIK_0204|EIK_0066|EIK_0001|EIK_0012,意気衝天|質実剛健|軍学の絆|立役者|知勇兼備|摂理探究|謀略家|雄材大略,意気衝天|質実剛健|軍学の絆|立役者|知勇兼備|摂理探究|謀略家|雄材大略,13816,4225,234,278,140,882,335,581,564,588,571,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0012|EIK_0015|EIK_0066|EIK_0204|EIK_0388||意気衝天|摂理探究|知勇兼備|立役者|謀略家|質実剛健|軍学の絆|雄材大略,,step174_validate_repair_7_9,22214,22214,jinpo_result_db_8.csv,生命,13816
step174_8_010938,STEP174_REVALIDATED_REPAIRED_7_9_RESULT,jinpo_result_db_8.csv,魚鱗,通常,8,EIK_0015|EIK_0388|EIK_0204|EIK_0066|EIK_0001|EIK_0378,武田晴信|お市(八雷)|北条氏康(獅子)|鍋島直茂(乱雲)|豊臣秀長|前田利家,EIK_0015|EIK_0388|EIK_0204|EIK_0066|EIK_0001|EIK_0378,意気衝天|質実剛健|軍学の絆|立役者|知勇兼備|摂理探究|謀略家|雄材大略,意気衝天|質実剛健|軍学の絆|立役者|知勇兼備|摂理探究|謀略家|雄材大略,13816,4225,234,278,140,882,335,581,564,588,571,ステータス計算済み,step174: 陣法説明(6).xlsx準拠。発動条件を有効ライン3人・各英傑1因子ずつで再検証し、配置6人合計×因縁倍率で再計算。英傑同一判定は名前ではなくinternal_id基準。,STEP174_REVALIDATED_REPAIRED_NEW_FORMULA,Σ floor(配置6人ステータス合計×発動因縁倍率) → floor(因縁値合算×陣形倍率),魚鱗||通常||8||EIK_0001|EIK_0015|EIK_0066|EIK_0204|EIK_0378|EIK_0388||意気衝天|摂理探究|知勇兼備|立役者|謀略家|質実剛健|軍学の絆|雄材大略,,step174_validate_repair_7_9,22214,22214,jinpo_result_db_8.csv,生命,13816
