陣形key,陣形名,対象ステータス,陣形倍率
shoyaku,衝軛,生命,0.05
shoyaku,衝軛,気合,0.05
shoyaku,衝軛,腕力,0.05
shoyaku,衝軛,耐久力,0.05
shoyaku,衝軛,器用さ,0.05
shoyaku,衝軛,知力,0.05
shoyaku,衝軛,魅力,0.05
shoyaku,衝軛,土,0.05
shoyaku,衝軛,水,0.05
shoyaku,衝軛,火,0.05
shoyaku,衝軛,風,0.05
kakuyoku,鶴翼,生命,0.1
kakuyoku,鶴翼,気合,0.0
kakuyoku,鶴翼,腕力,0.0
kakuyoku,鶴翼,耐久力,0.1
kakuyoku,鶴翼,器用さ,0.0
kakuyoku,鶴翼,知力,0.0
kakuyoku,鶴翼,魅力,0.1
kakuyoku,鶴翼,土,0.1
kakuyoku,鶴翼,水,0.1
kakuyoku,鶴翼,火,0.1
kakuyoku,鶴翼,風,0.1
gyorin,魚鱗,生命,0.0
gyorin,魚鱗,気合,0.1
gyorin,魚鱗,腕力,0.1
gyorin,魚鱗,耐久力,0.1
gyorin,魚鱗,器用さ,0.1
gyorin,魚鱗,知力,0.0
gyorin,魚鱗,魅力,0.0
gyorin,魚鱗,土,0.0
gyorin,魚鱗,水,0.0
gyorin,魚鱗,火,0.0
gyorin,魚鱗,風,0.0
hoen,方円,生命,0.0
hoen,方円,気合,0.1
hoen,方円,腕力,0.0
hoen,方円,耐久力,0.0
hoen,方円,器用さ,0.0
hoen,方円,知力,0.1
hoen,方円,魅力,0.1
hoen,方円,土,0.1
hoen,方円,水,0.1
hoen,方円,火,0.1
hoen,方円,風,0.1
