No,因縁種類,因縁名,因子1,因子2,因子3,発動因子表記,特大,大,中,小,確認状態
1,職業因縁,侍,武士道,武芸,軍学,武士道|武芸|軍学,生命力,,腕力,気合・耐久力・魅力,ZIP内get_data (1).csvから確認
2,職業因縁,僧,僧兵,仏門,密教,僧兵|仏門|密教,生命力,,魅力,腕力・器用さ・知力,ZIP内get_data (1).csvから確認
3,職業因縁,神主・巫女,神道,古神道,雅楽,神道|古神道|雅楽,生命力,,気合,腕力・器用さ・知力,ZIP内get_data (1).csvから確認
4,職業因縁,陰陽師,陰陽道,仙道,召喚術,陰陽道|仙道|召喚術,生命力,,知力,気合・耐久力・四象,ZIP内get_data (1).csvから確認
5,職業因縁,忍者,忍法,暗殺術,忍術,忍法|暗殺術|忍術,生命力,,器用,腕力・知力・四象,ZIP内get_data (1).csvから確認
6,職業因縁,鍛冶屋,刀鍛冶,鎧鍛冶,鉄砲鍛冶,刀鍛冶|鎧鍛冶|鉄砲鍛冶,生命力,,耐久力,腕力・器用さ・魅力,ZIP内get_data (1).csvから確認
7,職業因縁,薬師,医学,神通力,修験道,医学|神通力|修験道,生命力,,魅力,気合・知力・四象,ZIP内get_data (1).csvから確認
8,職業因縁,傾奇者,四象,地勢,殺陣,四象|地勢|殺陣,生命力,,四象,腕力・耐久力・知力,ZIP内get_data (1).csvから確認
9,特化因縁,武士道の絆,武士道,武士道,武士道,武士道|武士道|武士道,生命力,,気合・耐久力・魅力,,ZIP内get_data (1).csvから確認
10,特化因縁,武芸の絆,武芸,武芸,武芸,武芸|武芸|武芸,生命力,,腕力・耐久力・器用さ,,ZIP内get_data (1).csvから確認
11,特化因縁,軍学の絆,軍学,軍学,軍学,軍学|軍学|軍学,生命力,,耐久力・知力・魅力,,ZIP内get_data (1).csvから確認
12,特化因縁,僧兵の絆,僧兵,僧兵,僧兵,僧兵|僧兵|僧兵,生命力,,腕力・耐久力・知力,,ZIP内get_data (1).csvから確認
13,特化因縁,仏門の絆,仏門,仏門,仏門,仏門|仏門|仏門,生命力,,気合・知力・魅力,,ZIP内get_data (1).csvから確認
14,特化因縁,密教の絆,密教,密教,密教,密教|密教|密教,生命力,,知力・魅力・四象,,ZIP内get_data (1).csvから確認
15,特化因縁,神道の絆,神道,神道,神道,神道|神道|神道,生命力,,腕力・器用さ・知力,,ZIP内get_data (1).csvから確認
16,特化因縁,古神道の絆,古神道,古神道,古神道,古神道|古神道|古神道,生命力,,気合・知力・四象,,ZIP内get_data (1).csvから確認
17,特化因縁,雅楽の絆,雅楽,雅楽,雅楽,雅楽|雅楽|雅楽,生命力,,知力・魅力・四象,,ZIP内get_data (1).csvから確認
18,特化因縁,陰陽道の絆,陰陽道,陰陽道,陰陽道,陰陽道|陰陽道|陰陽道,生命力,,知力・魅力・四象,,ZIP内get_data (1).csvから確認
19,特化因縁,仙道の絆,仙道,仙道,仙道,仙道|仙道|仙道,生命力,,気合・知力・魅力,,ZIP内get_data (1).csvから確認
20,特化因縁,召喚術の絆,召喚術,召喚術,召喚術,召喚術|召喚術|召喚術,生命力,,耐久力・知力・四象,,ZIP内get_data (1).csvから確認
21,特化因縁,忍法の絆,忍法,忍法,忍法,忍法|忍法|忍法,生命力,,腕力・器用さ・魅力,,ZIP内get_data (1).csvから確認
