result_id,eiketsu_position_key,eiketsu_set_key,bond_set_key,eiketsu_ids,bond_ids,bond_count,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,登録元,備考
1,58679116|52757782|6064875|22106646|56763646|3118604,3118604|6064875|22106646|52757782|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|52757782|6064875|22106646|56763646|3118604,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,10643,1429,132,206,297,651,654,646,706,621,532,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
2,58679116|52757782|6064875|22106646|56763646|62167859,6064875|22106646|52757782|56763646|58679116|62167859,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|52757782|6064875|22106646|56763646|62167859,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,10675,1434,140,207,313,629,635,614,661,596,514,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
3,58679116|52757782|6064875|22106646|56763646|20000021,6064875|20000021|22106646|52757782|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|52757782|6064875|22106646|56763646|20000021,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,10933,1434,138,221,295,601,650,608,664,613,508,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
4,72522462|31264075|18823772|91853650|62167859|68061367,18823772|31264075|62167859|68061367|72522462|91853650,95603453|618096012|1539411415|1806394358|1913916333|2687121143|4101920554|4126911837,72522462|31264075|18823772|91853650|62167859|68061367,1806394358|1539411415|95603453|4101920554|2687121143|618096012|4126911837|1913916333,8,10896,2026,276,268,311,591,931,240,273,269,160,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
5,6064875|58679116|19138207|70764716|73754285|7042970,6064875|7042970|19138207|58679116|70764716|73754285,618096012|1539411415|1858996511|2431219077|2687121143|3337786097|3695590648|4065583492,6064875|58679116|19138207|70764716|73754285|7042970,3337786097|4065583492|2431219077|1539411415|3695590648|2687121143|618096012|1858996511,8,11277,2425,95,221,500,526,562,807,940,872,718,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
6,6064875|58679116|19138207|77317269|73754285|7042970,6064875|7042970|19138207|58679116|73754285|77317269,618096012|1539411415|1858996511|2431219077|2687121143|3337786097|3695590648|4065583492,6064875|58679116|19138207|77317269|73754285|7042970,3337786097|4065583492|2431219077|1539411415|3695590648|2687121143|618096012|1858996511,8,11270,2551,85,214,475,527,560,785,913,832,711,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
7,58679116|19138207|6064875|22106646|56763646|3118604,3118604|6064875|19138207|22106646|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|3118604,4065583492|618096012|2918637613|3337786097|3291951894|1539411415|70516445|1858996511,8,11413,1524,140,227,320,687,712,725,789,704,589,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
8,58679116|19138207|6064875|22106646|56763646|62167859,6064875|19138207|22106646|56763646|58679116|62167859,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|62167859,4065583492|618096012|2918637613|3337786097|3291951894|1539411415|70516445|1858996511,8,11445,1528,148,228,336,665,693,694,745,678,571,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
9,58679116|19138207|6064875|22106646|56763646|20000021,6064875|19138207|20000021|22106646|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|20000021,4065583492|618096012|2918637613|3337786097|3291951894|1539411415|70516445|1858996511,8,11703,1528,145,242,317,637,709,688,747,696,566,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
10,58679116|19138207|6064875|22106646|56763646|47015039,6064875|19138207|22106646|47015039|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|47015039,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11251,1429,142,217,299,593,662,621,678,602,503,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
11,58679116|19138207|6064875|22106646|56763646|70764716,6064875|19138207|22106646|56763646|58679116|70764716,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|70764716,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11572,1555,147,237,316,681,720,710,765,689,577,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
12,58679116|19138207|6064875|22106646|56763646|22724168,6064875|19138207|22106646|22724168|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|22724168,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11241,1441,129,221,290,639,669,631,685,608,510,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
13,58679116|19138207|6064875|22106646|56763646|77317269,6064875|19138207|22106646|56763646|58679116|77317269,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|77317269,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11565,1633,131,231,299,683,718,691,742,657,572,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
14,58679116|19138207|6064875|22106646|56763646|13065251,6064875|13065251|19138207|22106646|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|13065251,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11662,1511,138,237,297,637,693,646,700,621,521,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
15,58679116|19138207|6064875|22106646|56763646|16653100,6064875|16653100|19138207|22106646|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|16653100,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11775,1543,151,241,316,669,714,695,769,682,560,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
16,58679116|19138207|6064875|22106646|56763646|89730221,6064875|19138207|22106646|56763646|58679116|89730221,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|89730221,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11709,1520,146,226,314,645,697,703,788,673,568,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
17,58679116|19138207|6064875|22106646|56763646|93940988,6064875|19138207|22106646|56763646|58679116|93940988,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|93940988,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11562,1472,142,227,301,621,694,710,699,622,518,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
18,58679116|19138207|6064875|22106646|56763646|98478009,6064875|19138207|22106646|56763646|58679116|98478009,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|98478009,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11386,1501,141,228,301,645,673,650,702,625,525,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
19,58679116|19138207|6064875|22106646|56763646|97197601,6064875|19138207|22106646|56763646|58679116|97197601,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|97197601,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11413,1536,129,228,305,681,721,665,723,649,535,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
20,58679116|19138207|6064875|22106646|56763646|97496320,6064875|19138207|22106646|56763646|58679116|97496320,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|97496320,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11592,1598,131,230,308,677,727,689,753,663,555,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
21,58679116|19138207|6064875|22106646|56763646|90692810,6064875|19138207|22106646|56763646|58679116|90692810,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|90692810,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11386,1480,127,232,305,677,720,682,711,634,554,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
22,58679116|19138207|6064875|22106646|56763646|92604507,6064875|19138207|22106646|56763646|58679116|92604507,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|92604507,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11722,1520,148,226,315,647,701,703,749,711,568,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
23,58679116|19138207|6064875|22106646|56763646|12007359,6064875|12007359|19138207|22106646|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|12007359,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11351,1492,141,223,298,631,678,638,729,619,517,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
24,58679116|19138207|6064875|22106646|56763646|53040201,6064875|19138207|22106646|53040201|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|53040201,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11204,1503,140,215,311,647,707,662,717,641,537,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
25,58679116|19138207|6064875|22106646|56763646|48868869,6064875|19138207|22106646|48868869|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|48868869,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11848,1498,144,227,319,649,674,648,708,627,522,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
26,58679116|19138207|6064875|22106646|56763646|24482033,6064875|19138207|22106646|24482033|56763646|58679116,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|24482033,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11382,1423,144,226,295,660,657,640,690,618,519,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
27,58679116|19138207|6064875|22106646|56763646|97180878,6064875|19138207|22106646|56763646|58679116|97180878,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|97180878,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11561,1466,142,233,302,660,689,691,747,672,562,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
28,58679116|19138207|6064875|22106646|56763646|98826390,6064875|19138207|22106646|56763646|58679116|98826390,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|19138207|6064875|22106646|56763646|98826390,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11749,1565,148,232,314,660,728,709,765,688,581,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
29,19138207|47195554|92604507|8235820|95380774|68360833,8235820|19138207|47195554|68360833|92604507|95380774,1759106308|3229870434|3291951894|3623586604|3695590648|3872659029|4065583492|4147499442,19138207|47195554|92604507|8235820|95380774|68360833,3229870434|4147499442|4065583492|1759106308|3291951894|3872659029|3695590648|3623586604,8,11517,4207,263,256,53,770,336,549,535,555,541,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
30,19138207|47195554|92604507|8235820|95380774|17916985,8235820|17916985|19138207|47195554|92604507|95380774,1759106308|3229870434|3291951894|3623586604|3695590648|3872659029|4065583492|4147499442,19138207|47195554|92604507|8235820|95380774|17916985,3229870434|4147499442|4065583492|1759106308|3291951894|3872659029|3695590648|3623586604,8,11521,4188,240,252,49,783,336,546,526,540,529,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
31,19138207|47195554|92604507|8885443|95380774|68360833,8885443|19138207|47195554|68360833|92604507|95380774,1759106308|3229870434|3291951894|3623586604|3695590648|3872659029|4065583492|4147499442,19138207|47195554|92604507|8885443|95380774|68360833,3229870434|4147499442|4065583492|1759106308|3291951894|3872659029|3695590648|3623586604,8,11204,4288,232,257,52,766,336,537,551,577,522,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
32,19138207|47195554|92604507|8885443|95380774|17916985,8885443|17916985|19138207|47195554|92604507|95380774,1759106308|3229870434|3291951894|3623586604|3695590648|3872659029|4065583492|4147499442,19138207|47195554|92604507|8885443|95380774|17916985,3229870434|4147499442|4065583492|1759106308|3291951894|3872659029|3695590648|3623586604,8,11208,4269,210,254,48,778,336,534,541,562,510,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
33,92604507|58679116|19138207|75364080|6064875|39273786,6064875|19138207|39273786|58679116|75364080|92604507,70516445|618096012|1539411415|1858996511|2225312252|3695590648|4065583492|4239170409,92604507|58679116|19138207|75364080|6064875|39273786,2225312252|4065583492|1539411415|3695590648|4239170409|618096012|70516445|1858996511,8,11254,3318,0,137,173,530,856,593,662,625,483,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
34,92604507|58679116|19138207|75364080|6064875|34871206,6064875|19138207|34871206|58679116|75364080|92604507,70516445|618096012|1539411415|1858996511|2225312252|3695590648|4065583492|4239170409,92604507|58679116|19138207|75364080|6064875|34871206,2225312252|4065583492|1539411415|3695590648|4239170409|618096012|70516445|1858996511,8,11077,3307,0,139,183,505,828,616,676,641,493,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
35,92604507|58679116|19138207|75364080|6064875|59432769,6064875|19138207|58679116|59432769|75364080|92604507,70516445|618096012|1539411415|1858996511|2225312252|3291951894|3695590648|4065583492,92604507|58679116|19138207|75364080|6064875|59432769,2225312252|4065583492|3291951894|1539411415|3695590648|618096012|70516445|1858996511,8,11064,1998,49,134,173,679,751,668,741,703,552,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
36,92604507|58679116|19138207|75364080|6064875|85641193,6064875|19138207|58679116|75364080|85641193|92604507,70516445|618096012|1539411415|1858996511|2225312252|3695590648|4065583492|4239170409,92604507|58679116|19138207|75364080|6064875|85641193,2225312252|4065583492|1539411415|3695590648|4239170409|618096012|70516445|1858996511,8,11152,3318,0,137,173,529,797,593,662,625,483,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
37,92604507|58679116|19138207|75364080|6064875|89823774,6064875|19138207|58679116|75364080|89823774|92604507,70516445|618096012|1539411415|1858996511|3291951894|3695590648|4065583492|4239170409,92604507|58679116|19138207|75364080|6064875|89823774,4065583492|3291951894|1539411415|3695590648|4239170409|618096012|70516445|1858996511,8,11670,2811,56,144,182,702,754,578,643,619,467,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
38,92604507|58679116|19138207|75364080|6064875|56823172,6064875|19138207|56823172|58679116|75364080|92604507,70516445|618096012|1539411415|1858996511|3229870434|3291951894|3695590648|4065583492,92604507|58679116|19138207|75364080|6064875|56823172,3229870434|4065583492|3291951894|1539411415|3695590648|618096012|70516445|1858996511,8,11372,1443,144,137,175,737,540,687,773,725,572,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
39,92604507|58679116|19138207|75364080|6064875|6218471,6064875|6218471|19138207|58679116|75364080|92604507,70516445|618096012|1539411415|1858996511|3291951894|3695590648|4065583492|4239170409,92604507|58679116|19138207|75364080|6064875|6218471,4065583492|3291951894|1539411415|3695590648|4239170409|618096012|70516445|1858996511,8,11358,2770,53,143,177,694,763,530,593,556,424,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
40,92604507|58679116|19138207|75364080|6064875|95380774,6064875|19138207|58679116|75364080|92604507|95380774,70516445|618096012|1539411415|1858996511|3229870434|3291951894|3695590648|4065583492,92604507|58679116|19138207|75364080|6064875|95380774,3229870434|4065583492|3291951894|1539411415|3695590648|618096012|70516445|1858996511,8,11780,1474,141,141,183,815,567,743,819,773,613,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
41,92604507|58679116|19138207|75364080|6064875|15674090,6064875|15674090|19138207|58679116|75364080|92604507,70516445|618096012|1539411415|1858996511|2918637613|3695590648|4065583492|4239170409,92604507|58679116|19138207|75364080|6064875|15674090,2918637613|4065583492|1539411415|3695590648|4239170409|618096012|70516445|1858996511,8,10838,2626,84,206,239,575,736,533,606,566,430,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
42,58679116|78096537|6064875|22106646|56763646|3118604,3118604|6064875|22106646|56763646|58679116|78096537,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|78096537|6064875|22106646|56763646|3118604,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11399,1481,136,215,313,690,689,684,744,657,604,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
43,58679116|78096537|6064875|22106646|56763646|62167859,6064875|22106646|56763646|58679116|62167859|78096537,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|78096537|6064875|22106646|56763646|62167859,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11431,1486,145,216,329,668,670,652,700,632,585,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
44,58679116|78096537|6064875|22106646|56763646|20000021,6064875|20000021|22106646|56763646|58679116|78096537,70516445|618096012|1539411415|1858996511|2918637613|3291951894|3337786097|4065583492,58679116|78096537|6064875|22106646|56763646|20000021,3337786097|2918637613|4065583492|3291951894|1539411415|618096012|70516445|1858996511,8,11689,1486,142,230,311,640,685,646,703,649,580,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
45,77317269|52026173|95380774|68360833|19138207|73754285,19138207|52026173|68360833|73754285|77317269|95380774,618096012|1539411415|2431219077|3623586604|3695590648|3872659029|4126911837|4147499442,77317269|52026173|95380774|68360833|19138207|73754285,2431219077|3623586604|618096012|4147499442|3872659029|1539411415|3695590648|4126911837,8,11767,4256,105,196,401,615,364,633,644,615,532,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
46,77317269|52026173|95380774|17916985|19138207|73754285,17916985|19138207|52026173|73754285|77317269|95380774,618096012|1539411415|2431219077|3623586604|3695590648|3872659029|4126911837|4147499442,77317269|52026173|95380774|17916985|19138207|73754285,2431219077|3623586604|618096012|4147499442|3872659029|1539411415|3695590648|4126911837,8,11771,4240,97,194,376,625,365,629,634,600,522,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
47,65584396|88881919|18823772|91853650|62167859|46105657,18823772|46105657|62167859|65584396|88881919|91853650,95603453|618096012|1539411415|1806394358|2918637613|3244390646|3337786097|4101920554,65584396|88881919|18823772|91853650|62167859|46105657,1539411415|4101920554|618096012|2918637613|3337786097|3244390646|1806394358|95603453,8,11662,574,452,262,382,390,967,431,437,442,323,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
48,89823774|84324240|72522462|75364080|6064875|39273786,6064875|39273786|72522462|75364080|84324240|89823774,70516445|618096012|1913916333|2225312252|2687121143|3190387884|3291951894|4239170409,89823774|84324240|72522462|75364080|6064875|39273786,2225312252|3190387884|3291951894|2687121143|70516445|4239170409|618096012|1913916333,8,11519,2718,135,237,316,739,862,448,470,462,360,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
49,89823774|84324240|72522462|75364080|6064875|34871206,6064875|34871206|72522462|75364080|84324240|89823774,70516445|618096012|1913916333|2225312252|2687121143|3190387884|3291951894|4239170409,89823774|84324240|72522462|75364080|6064875|34871206,2225312252|3190387884|3291951894|2687121143|70516445|4239170409|618096012|1913916333,8,11341,2708,142,239,334,707,832,466,481,474,367,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
50,89823774|84324240|72522462|75364080|6064875|85641193,6064875|72522462|75364080|84324240|85641193|89823774,70516445|618096012|1913916333|2225312252|2687121143|3190387884|3291951894|4239170409,89823774|84324240|72522462|75364080|6064875|85641193,2225312252|3190387884|3291951894|2687121143|70516445|4239170409|618096012|1913916333,8,11416,2718,137,237,316,737,800,448,470,462,360,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
51,89823774|84324240|72522462|75364080|6064875|22106646,6064875|22106646|72522462|75364080|84324240|89823774,70516445|618096012|1913916333|2687121143|3190387884|3291951894|3337786097|4239170409,89823774|84324240|72522462|75364080|6064875|22106646,3337786097|3190387884|3291951894|2687121143|70516445|4239170409|618096012|1913916333,8,11935,2291,160,243,445,741,676,507,516,506,404,新規 テキスト ドキュメント (2).txt,陣形補正前の計算済み合計
