番号,鬼神の力,入手,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風
1,不壊金剛,もののふ討伐録：イベント,2500,0,0,200,0,0,50,0,0,0,0
2,御所の威厳,,2000,0,0,100,0,0,60,0,0,0,0
3,白鳥天翔,招福の小槌：イベント,2000,0,200,0,80,0,0,0,0,0,0
4,礼魂覚醒,招福の小槌：イベント,2000,0,0,0,0,0,300,0,0,0,0
5,忠魂覚醒,招福の小槌：イベント,2000,0,0,150,0,0,150,0,0,0,0
6,禄存の輝光,星海の荒石,2000,0,0,200,0,0,0,0,0,0,0
7,義魂覚醒,招福の小槌：イベント,2000,0,250,0,50,0,0,0,0,0,0
8,悌魂覚醒,招福の小槌：イベント,2000,0,0,0,0,0,100,200,200,200,200
9,智魂覚醒,招福の小槌：イベント,2000,0,0,0,0,250,0,50,50,50,50
10,潜龍在淵,招福の小槌：イベント,2000,0,0,200,0,80,0,0,0,0,0
11,悪夢の前触,天下武技大会・天：幽界の荒石,2000,0,0,70,0,0,70,0,0,0,0
12,光彩奪目,招福の小槌：イベント,2000,0,0,0,0,0,260,0,0,0,0
13,逆境突破,福袋（※過去に販売）,2000,0,0,0,0,100,0,0,0,0,500
14,視生如死,黄泉の果て：  7500PT,2000,0,250,0,0,250,50,0,0,0,0
15,虚無缥渺,英傑探訪：城下町,2000,0,70,70,70,70,70,70,70,70,70
16,光明遍照,福袋（※過去に販売）,2000,0,0,0,0,0,260,0,0,0,0
17,孝魂覚醒,招福の小槌：イベント,2000,0,60,60,60,60,60,60,60,60,60
18,信魂覚醒,招福の小槌：イベント,2000,0,0,0,300,0,0,0,0,0,0
19,仁魂覚醒,招福の小槌：イベント,2000,0,0,0,0,150,150,0,0,0,0
20,円明飛燕,招福の小槌：イベント,2000,0,200,0,0,0,80,0,0,0,0
21,鳥獣戯画,福袋（※過去に販売）,2000,0,260,0,0,0,0,0,0,0,0
22,聖炎の力,福袋（※過去に販売）,2000,0,0,0,0,150,0,0,0,0,0
23,天使の守護,福袋（※過去に販売）,2000,0,0,140,0,0,120,0,0,0,0
24,霊威煌々,福袋（※過去に販売）,2000,0,0,0,0,150,100,0,0,0,0
25,難攻不落,福袋（※過去に販売）,2000,0,0,250,0,0,0,0,0,0,0
26,神龍天昇,黄金鬼神箱で交換可能,2000,0,0,0,0,0,250,0,0,0,0
27,闘争無窮,修羅魔石：3000PT,2000,0,200,0,0,200,50,0,0,0,0
28,大国主の慈愛,黄金鬼神箱で交換可能,2000,0,0,0,0,0,200,0,0,0,0
29,神仙の行気,継続の箱（ログボ）：0.1%,2000,0,100,100,100,100,100,0,0,0,0
30,天下の勇将,黄金鬼神箱で交換可能,2000,0,0,150,0,0,0,0,0,0,0
31,大賢虎変,黄金鬼神箱で交換可能,2000,0,0,0,0,0,150,0,0,0,0
32,武神の気,合戦宝箱        ：0.5%,2000,0,300,0,0,0,50,0,0,0,0
33,剛神の護,合戦宝箱        ：0.5%,2000,0,0,300,0,0,50,0,0,0,0
34,謀神の才,合戦宝箱        ：0.5%,2000,0,0,0,0,300,50,0,0,0,0
35,一馬当先,福袋（※過去に販売）,1800,0,0,0,0,160,120,0,0,0,0
36,激戦勇猛,戦国鬼退治：イベント,1800,0,0,0,0,280,0,0,0,0,0
37,猫仙の眼光,安土鎮魂祭：イベント,1800,0,0,0,0,200,80,0,0,0,0
38,神犬の咆哮,安土鎮魂祭：イベント,1800,0,0,0,0,200,80,0,0,0,0
39,温慈恵和,福袋（※過去に販売）,1800,0,0,0,0,200,80,0,0,0,0
40,福徳円満,東西合戦：イベント,1800,0,0,0,0,230,0,50,50,50,50
41,狂言十八番,福袋（※過去に販売）,1800,0,0,100,0,0,200,0,0,0,0
42,魑魅魍魎,戦国鬼退治：イベント,1800,0,0,0,0,0,280,0,0,0,0
43,豪剣の力,黄金鬼神箱で交換可能,1800,0,200,70,0,0,0,0,0,0,0
44,生生流転,黄金鬼神箱で交換可能,1800,0,0,0,0,180,70,0,0,0,0
45,富士の霊杖,討取の証（富士）：霊峰の鬼神箱,1800,0,0,0,0,120,150,0,0,0,0
46,富士の霊刃,討取の証（富士）：霊峰の鬼神箱,1800,0,120,0,0,0,150,0,0,0,0
47,富士の霊盾,討取の証（富士）：霊峰の鬼神箱,1800,0,0,120,0,0,150,0,0,0,0
48,神気旺盛,東西合戦：イベント,1750,0,0,0,0,50,200,0,0,0,0
49,不動の衛護,東西合戦：イベント,1750,0,0,100,0,0,145,0,0,0,0
50,京洛の風華,黄泉の果て：京洛の荒石,1700,0,0,100,0,0,80,0,0,0,0
51,鬼気集結,黄金鬼神箱で交換可能,1700,0,100,180,0,0,0,0,0,0,0
52,高談雄弁,福袋（※過去に販売）,1700,0,0,0,0,130,150,0,0,0,0
53,鵬程万里,英傑探訪報酬品：12000PT,1700,0,70,70,70,70,70,70,70,70,70
54,不知火の力,黄金鬼神箱で交換可能,1700,0,0,0,0,200,50,0,0,0,0
55,明王の加護,福袋（※過去に販売）,1700,0,210,0,70,0,0,0,0,0,0
56,麗神の波動,福袋（※過去に販売）,1700,0,130,0,0,0,150,0,0,0,0
57,吸魔の力,福袋（※過去に販売）,1700,0,190,0,0,190,90,0,0,0,0
58,千軍撃滅,黄金鬼神箱で交換可能,1700,0,160,0,0,0,100,0,0,0,0
59,万霊顕現,福袋（※過去に販売）,1700,0,0,0,0,80,200,0,0,0,0
60,闘神無双の勲,福袋（※過去に販売）,1700,0,200,0,0,200,80,0,0,0,0
61,宿命の因果,福袋（※過去に販売）,1700,1600,0,0,0,0,200,0,0,0,0
