番号,魔導の力,入手,生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風
1,奈落の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,600,0,0,0,0,0,0,60,0,0,0
2,深淵の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,600,0,0,0,0,0,0,0,60,0,0
3,煉獄の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,600,0,0,0,0,0,0,0,0,60,0
4,輪廻の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,600,0,0,0,0,0,0,0,0,0,60
5,惨苦の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,490,0,0,0,0,0,0,45,0,0,0
6,悪寒の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,490,0,0,0,0,0,0,0,45,0,0
7,焦熱の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,490,0,0,0,0,0,0,0,0,45,0
8,朦朧の幽変,英傑探訪：幽霊船【魔導付与石・幽 】,490,0,0,0,0,0,0,0,0,0,45
9,紅の生命,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,500,0,50,0,0,0,0,0,0,0,0
10,紅の技巧,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,200,0,50,0,30,0,0,0,0,0,0
11,紅の霊気,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,200,0,50,0,0,0,30,0,0,0,0
12,防の生命,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,500,0,0,50,0,0,0,0,0,0,0
13,防の剛力,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,200,0,50,50,0,0,0,0,0,0,0
14,防の麗気,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,200,0,0,50,0,0,30,0,0,0,0
15,智の生命,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,500,0,0,0,0,50,0,0,0,0,0
16,智の麗気,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,200,0,0,0,0,50,30,0,0,0,0
17,智の四象,天下統一奇譚：桶狭間＆富士：12000PT【魔導付与石・霊双】,200,0,0,0,0,50,0,30,30,30,30
18,生命の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,500,0,0,0,0,0,0,0,0,0,0
19,気力の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,300,0,0,0,0,0,0,0,0,0
20,怪力の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,50,0,0,0,0,0,0,0,0
21,鋼の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,50,0,0,0,0,0,0,0
22,技巧の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,50,0,0,0,0,0,0
23,英知の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,0,50,0,0,0,0,0
24,麗の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,0,0,50,0,0,0,0
25,大地の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,0,0,0,50,0,0,0
26,大海の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,0,0,0,0,50,0,0
27,大炎の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,0,0,0,0,0,50,0
28,大風の霊光,天下統一奇譚：桶狭間＆富士：9000PT【魔導付与石・霊伍】,200,0,0,0,0,0,0,0,0,0,50
29,生命の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,457,0,0,0,0,0,0,0,0,0,0
30,気力の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,267,0,0,0,0,0,0,0,0,0
31,怪力の波動,天下統一奇譚：桶狭間＆富士：6000PT【魔導付与石・霊四】,190,0,45,0,0,0,0,0,0,0,0
